row_id,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
73,0.032615,0.076788,0.336994,0.279164,0.205882,0.233872,0.206897,0.669777,0.416404,0.647482,0.797548,0.435626,0.749039,0.630897,0.230384,0.005536
74,0.045002,0.104741,0.331806,0.276972,0.176471,0.233872,0.206897,0.710306,0.422713,0.679259,0.838142,0.505884,0.783791,0.649399,0.265025,0.005925
75,0.054812,0.126844,0.299131,0.289215,0.176471,0.27421,0.206897,0.692205,0.463722,0.718857,0.861735,0.418792,0.793192,0.653099,0.28798,0.006458
76,0.070748,0.156425,0.307891,0.305518,0.235294,0.314693,0.206897,0.769694,0.504732,0.762803,0.884952,0.529088,0.795471,0.679309,0.348497,0.006827
77,0.092981,0.191927,0.363192,0.324677,0.264706,0.34775,0.258621,0.808525,0.507886,0.81606,0.889422,0.637724,0.833072,0.775208,0.328047,0.007466
78,0.109928,0.230626,0.402939,0.328587,0.264706,0.376584,0.327586,0.816115,0.498423,0.83951,0.903763,0.630234,0.849879,0.765032,0.357679,0.008464
79,0.124149,0.270474,0.403113,0.343538,0.264706,0.405417,0.37931,0.829628,0.419558,0.863711,0.916254,0.632521,0.877938,0.810052,0.399416,0.009252
80,0.135039,0.31076,0.3936,0.347679,0.352941,0.446192,0.431034,0.840683,0.55836,0.867967,0.922695,0.665225,0.885771,0.808511,0.441569,0.00971
81,0.137711,0.170116,0.358711,0.346388,0.323529,0.464395,0.482759,0.822392,0.567823,0.860261,0.925035,0.471323,0.892608,0.803885,0.437396,0.010214
82,0.14738,0.18794,0.325201,0.395737,0.323529,0.505752,0.534483,0.826547,0.533123,0.923412,0.971453,0.428997,0.900299,0.796485,0.456594,0.011056
83,0.159318,0.202254,0.294308,0.425372,0.323529,0.523664,0.534483,0.827203,0.55836,0.923412,0.976788,0.376043,0.900157,0.841196,0.428214,0.011964
84,0.168552,0.211211,0.297052,0.430698,0.323529,0.599534,0.534483,0.823996,0.615142,0.923412,0.983564,0.392386,0.900869,0.811594,0.407763,0.013032
85,0.180481,0.222695,0.248022,0.432108,0.441176,0.62196,0.534483,0.837133,0.665615,0.923412,0.982675,0.488629,0.883208,0.836571,0.421119,0.013521
86,0.194125,0.203139,0.224267,0.401793,0.352941,0.747197,0.534483,0.871431,0.70347,0.923412,0.988495,0.392304,0.899302,0.864323,0.487062,0.018043
87,0.214938,0.229512,0.276757,0.399849,0.382353,0.782729,0.534483,0.89514,0.725552,0.923412,0.990251,0.367171,0.926649,0.873882,0.507095,0.019501
88,0.210995,0.205722,0.165112,0.413444,0.382353,0.799185,0.534483,0.92148,0.776025,0.923412,0.99115,0.297805,0.950719,0.890842,0.547162,0.016074
89,0.226695,0.227544,0.202849,0.435651,0.382353,0.843745,0.534483,0.933759,0.77918,0.923412,0.991635,0.437685,0.95485,0.88745,0.562187,0.024932
90,0.244617,0.239277,0.215313,0.491448,0.382353,0.843745,0.534483,0.947945,0.77918,0.923412,0.991635,0.437685,0.95485,0.88745,0.562187,0.024932
91,0.023527,0.040459,0.473219,0.143559,0.117647,0.098587,0.068966,0.504637,0.507886,0.648104,0.768949,0.536095,0.699758,0.585261,0.262521,0.005063
92,0.035877,0.055872,0.326141,0.148449,0.0,0.098587,0.068966,0.535956,0.542587,0.711741,0.813684,0.308063,0.730665,0.632747,0.281302,0.005452
93,0.0436,0.070309,0.296681,0.146002,0.088235,0.143294,0.068966,0.528144,0.577287,0.750348,0.834375,0.392473,0.763282,0.681776,0.311352,0.005816
94,0.061038,0.093212,0.341384,0.149142,0.147059,0.188001,0.068966,0.558202,0.624606,0.818893,0.864077,0.302951,0.777667,0.716312,0.325543,0.006488
95,0.083298,0.119143,0.421027,0.163595,0.117647,0.238241,0.137931,0.603483,0.634069,0.848487,0.911318,0.273371,0.816123,0.748073,0.338063,0.007033
96,0.099138,0.143516,0.428687,0.182495,0.176471,0.40367,0.206897,0.611276,0.649842,0.875504,0.925224,0.276187,0.828514,0.754548,0.36227,0.007607
