row_id,MODEL,PARAMS_JSON,model__C,model__epsilon,model__gamma,model__kernel,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
11,SVR,"{""model__C"": 50, ""model__epsilon"": 0.01, ""model__gamma"": 0.01, ""model__kernel"": ""rbf""}",50,0.01,0.01,rbf,0.9507282531121802,0.01598745319180367,0.02180185456627826,3.799883597692697,-0.07933255647098525,0.04211193347168134,0.05125583701697038,7.312685872870444,0.5877040077201349,0.02658035141415212,0.03519731554013189,4.849661569343653
12,SVR,"{""model__C"": 1, ""model__epsilon"": 0.05, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",1,0.05,scale,rbf,0.9135674372312184,0.02445233046008191,0.02887574203548739,5.727738519763975,-0.5455981945384041,0.05163489766791842,0.06133579409849285,8.806843653603623,0.4039865977375005,0.03327371416581718,0.04231876623605425,5.986236142720845
13,SVR,"{""model__C"": 1, ""model__epsilon"": 0.05, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",1,0.05,0.1,rbf,0.9135674372312184,0.02445233046008191,0.02887574203548739,5.727738519763975,-0.5455981945384041,0.05163489766791842,0.06133579409849285,8.806843653603623,0.4039865977375005,0.03327371416581718,0.04231876623605425,5.986236142720845
14,SVR,"{""model__C"": 10, ""model__epsilon"": 0.05, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",10,0.05,scale,rbf,0.9134777256563511,0.02445453444500224,0.02889072375284056,5.684056573799682,-0.5856759573785095,0.05235163264603768,0.0621259313037032,8.931741923908437,0.3923041250118876,0.03341356214113417,0.04273149912061016,6.00398755366304
15,SVR,"{""model__C"": 10, ""model__epsilon"": 0.05, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",10,0.05,0.1,rbf,0.9134777256563511,0.02445453444500224,0.02889072375284056,5.684056573799682,-0.5856759573785095,0.05235163264603768,0.0621259313037032,8.931741923908437,0.3923041250118876,0.03341356214113417,0.04273149912061016,6.00398755366304
16,SVR,"{""model__C"": 50, ""model__epsilon"": 0.05, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",50,0.05,scale,rbf,0.9134777256563511,0.02445453444500224,0.02889072375284056,5.684056573799682,-0.5856759573785095,0.05235163264603768,0.0621259313037032,8.931741923908437,0.3923041250118876,0.03341356214113417,0.04273149912061016,6.00398755366304
17,SVR,"{""model__C"": 50, ""model__epsilon"": 0.05, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",50,0.05,0.1,rbf,0.9134777256563511,0.02445453444500224,0.02889072375284056,5.684056573799682,-0.5856759573785095,0.05235163264603768,0.0621259313037032,8.931741923908437,0.3923041250118876,0.03341356214113417,0.04273149912061016,6.00398755366304
18,SVR,"{""model__C"": 10, ""model__epsilon"": 0.01, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",10,0.01,scale,rbf,0.9879855039113946,0.009149127882257985,0.01076582307600426,2.167491067689624,-0.960949261558016,0.05652086802304566,0.06908740331453438,9.806068469311843,0.3622154592356277,0.03284605927003183,0.04377659504907414,5.948493688450173
19,SVR,"{""model__C"": 10, ""model__epsilon"": 0.01, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",10,0.01,0.1,rbf,0.9879855039113946,0.009149127882257985,0.01076582307600426,2.167491067689624,-0.960949261558016,0.05652086802304566,0.06908740331453438,9.806068469311843,0.3622154592356277,0.03284605927003183,0.04377659504907414,5.948493688450173
20,SVR,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",1,0.1,scale,rbf,0.7798399320014183,0.03725041399106462,0.04608543950159237,8.566374153966851,-1.300596246129207,0.06583282290936247,0.07483174883010721,11.19648269102734,-0.06914539550500098,0.04650332097954806,0.05667915538613363,8.19721708713817
21,SVR,"{""model__C"": 1, ""model__epsilon"": 0.1, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",1,0.1,0.1,rbf,0.7798399320014183,0.03725041399106462,0.04608543950159237,8.566374153966851,-1.300596246129207,0.06583282290936247,0.07483174883010721,11.19648269102734,-0.06914539550500098,0.04650332097954806,0.05667915538613363,8.19721708713817
22,SVR,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",10,0.1,scale,rbf,0.7798399320014183,0.03725041399106462,0.04608543950159237,8.566374153966851,-1.300596246129207,0.06583282290936247,0.07483174883010721,11.19648269102734,-0.06914539550500098,0.04650332097954806,0.05667915538613363,8.19721708713817
23,SVR,"{""model__C"": 10, ""model__epsilon"": 0.1, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",10,0.1,0.1,rbf,0.7798399320014183,0.03725041399106462,0.04608543950159237,8.566374153966851,-1.300596246129207,0.06583282290936247,0.07483174883010721,11.19648269102734,-0.06914539550500098,0.04650332097954806,0.05667915538613363,8.19721708713817
24,SVR,"{""model__C"": 50, ""model__epsilon"": 0.1, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",50,0.1,scale,rbf,0.7798399320014183,0.03725041399106462,0.04608543950159237,8.566374153966851,-1.300596246129207,0.06583282290936247,0.07483174883010721,11.19648269102734,-0.06914539550500098,0.04650332097954806,0.05667915538613363,8.19721708713817
25,SVR,"{""model__C"": 50, ""model__epsilon"": 0.1, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",50,0.1,0.1,rbf,0.7798399320014183,0.03725041399106462,0.04608543950159237,8.566374153966851,-1.300596246129207,0.06583282290936247,0.07483174883010721,11.19648269102734,-0.06914539550500098,0.04650332097954806,0.05667915538613363,8.19721708713817
26,SVR,"{""model__C"": 50, ""model__epsilon"": 0.01, ""model__gamma"": ""scale"", ""model__kernel"": ""rbf""}",50,0.01,scale,rbf,0.9915694091710204,0.008369350198656844,0.009018274786029772,1.949641195992583,-1.682149175210532,0.06865873150139651,0.08079921767439967,11.94900537458321,0.2079890961447541,0.03716937405531751,0.04878323148041196,6.700147814590898
27,SVR,"{""model__C"": 50, ""model__epsilon"": 0.01, ""model__gamma"": 0.1, ""model__kernel"": ""rbf""}",50,0.01,0.1,rbf,0.9915694091710204,0.008369350198656844,0.009018274786029772,1.949641195992583,-1.682149175210532,0.06865873150139651,0.08079921767439967,11.94900537458321,0.2079890961447541,0.03716937405531751,0.04878323148041196,6.700147814590898
