row_id,year,id,年末城镇人口比重,年末人口数,年末城镇人口数,年末农村人口数,城镇居民人均可支配收入（元）,农村居民人均可支配收入（元）,城-总收入,农-总收入,总收入,城总收/总,农总收/总,城总人/总,农总人/总,x1,x2,泰尔指数
73,2002,浙江,0.211512803959544,4647.0,982.9,3664.1,11715.6,4940.36,11515263.24,18101973.076,29617236.316,0.388802760566122,0.611197239433878,0.211512803959544,0.788487196040456,1.83819964223295,0.775151762137832,0.0810281600748335
74,2002,安徽,0.192189965288735,6144.0,1218.1,4925.9,6032.4,2117.56,7348066.44,10430888.804,17778955.244,0.413301363277789,0.586698636722211,0.192189965288735,0.801741536458333,2.1504835731505,0.731780268381669,0.133250540208449
75,2002,福建,0.221234852856319,3466.0,766.8,2699.2,9189.36,3538.83,7046401.248,9552009.936,16598411.184,0.424522634720145,0.575477365279855,0.221234852856319,0.778765147143681,1.91887774118417,0.738961376726429,0.102591155299714
76,2002,江西,0.238394126006632,4222.0,1006.5,3215.5,6335.64,2306.45,6376821.66,7416389.975,13793211.635,0.462315944157555,0.537684055842445,0.238394126006632,0.761605873993368,1.93929251488644,0.705987275312332,0.119003545797895
77,2002,山东,0.225049548557586,9082.0,2043.9,7038.1,7614.36,2947.65,15562990.404,20745855.465,36308845.869,0.428628066564007,0.571371933435993,0.225049548557586,0.774950451442414,1.90459420741441,0.737301245999018,0.102021182175543
78,2002,河南,0.177374388848434,9613.0,1705.1,7907.9,6245.4,2215.74,10649031.54,17521850.346,28170881.886,0.378015554610387,0.621984445389613,0.177374388848434,0.822625611151566,2.13117326049479,0.756096621546852,0.112135824921026
79,2002,湖北,0.338560454241817,5988.0,2027.3,3960.7,6788.52,2444.06,13762366.596,9680188.442,23442555.038,0.587067688385137,0.412932311614863,0.338560454241817,0.661439545758183,1.73401140336911,0.624293352677507,0.128597218872081
80,2002,湖南,0.182259767687434,6629.0,1208.2,5420.8,6958.56,2397.92,8407332.192,12998644.736,21405976.928,0.392756295135627,0.607243704864373,0.182259767687434,0.817740232312566,2.15492590668273,0.742587536811158,0.120816591938831
81,2002,广东,0.228591423845273,7859.0,1796.5,6062.5,11137.2,3911.9,20007979.8,23715893.75,43723873.55,0.457598519424865,0.542401480575135,0.228591423845273,0.771408576154727,2.00181840476483,0.703131255396287,0.126558838245582
82,2002,广西,0.157154707590212,4822.0,757.8,4064.2,7315.32,2012.6,5543549.496,8179608.92,13723158.416,0.403955804338505,0.596044195661495,0.157154707590212,0.842845292409788,2.57043400438145,0.707181022459458,0.174853878539525
83,2002,海南,0.367870485678705,803.0,295.4,507.6,6822.72,2423.2,2015431.488,1230016.32,3245447.808,0.621002588004028,0.378997411995972,0.367870485678705,0.632129514321295,1.68810114477737,0.599556583594889,0.131277851865626
84,2002,重庆,0.213646604441584,3107.0,663.8,2443.2,7238.04,2097.58,4804610.952,5124807.456,9929418.408,0.483876371664325,0.516123628335675,0.213646604441584,0.786353395558416,2.26484466218899,0.656350733971407,0.178252918340655
85,2002,四川,0.203862561973942,8673.0,1768.1,6904.9,6610.8,2107.64,11688555.48,14553043.436,26241598.916,0.445420857068022,0.554579142931978,0.203862561973942,0.796137438026058,2.18490758065209,0.696587192667388,0.147614237631458
86,2002,贵州,0.167735209799322,3837.0,643.6,3193.4,5944.08,1489.91,3825609.888,4757878.594,8583488.482,0.44569406669823,0.55430593330177,0.167735209799322,0.832264790200678,2.65712885941752,0.66602112672352,0.210264101724337
87,2002,云南,0.194599584583429,4333.0,843.2,3489.8,7240.56,1608.64,6105240.192,5613831.872,11719072.064,0.52096617877748,0.47903382122252,0.194599584583429,0.805400415416571,2.67711865825762,0.594777221433084,0.264125984531781
88,2002,西藏,0.175655430711611,267.0,46.9,220.1,8079.12,1462.27,378910.728,321845.627,700756.355,0.540716791644365,0.459283208355635,0.175655430711611,0.82434456928839,3.07828109528881,0.557149553071124,0.339321813005155
89,2002,陕西,0.244610778443114,3674.0,898.7,2775.3,6330.84,1596.25,5689525.908,4430072.625,10119598.533,0.562228421359451,0.43777157864055,0.244610778443114,0.755389221556886,2.29846135537401,0.579531142552293,0.22908883598863
90,2002,甘肃,0.210605476282298,2593.0,546.1,2046.9,6151.44,1590.3,3359301.384,3255185.07,6614486.454,0.507870324833535,0.492129675166465,0.210605476282298,0.789394523717702,2.41147729773551,0.623426766186254,0.2145044731287
91,2002,青海,0.35179584120983,529.0,186.1,342.9,6170.52,1668.94,1148333.772,572279.526,1720613.298,0.66739794080099,0.33260205919901,0.35179584120983,0.64820415879017,1.89711719873038,0.513113121365635,0.205426873855453
92,2002,宁夏,0.298951048951049,572.0,171.0,401.0,6067.44,1917.36,1037532.24,768861.36,1806393.6,0.574366649660406,0.425633350339594,0.298951048951049,0.701048951048951,1.92127323746054,0.607137846369695,0.162663798841591
93,2002,新疆,0.502362204724409,1905.0,957.0,948.0,6899.64,1863.26,6602955.48,1766370.48,8369325.96,0.788947104170382,0.211052895829618,0.502362204724409,0.497637795275591,1.57047464309778,0.424109458391796,0.175079769524245
94,2003,北京,0.7905,1456.0,1150.968,305.032,13882.62,5601.55,15978451.37616,1708651.9996,17687103.37576,0.903395600551434,0.096604399448566,0.7905,0.2095,1.14281543396766,0.461118851783132,0.0458172892739716
95,2003,天津,0.7345,1011.0,742.5795,268.4205,10312.91,4566.01,7658155.551345,1225610.687205,8883766.23855,0.862039291186365,0.137960708813635,0.7345,0.2655,1.17364096825918,0.519626021896931,0.0477064339005973
96,2003,河北,0.3352,6769.0,2268.9688,4500.0312,7239.06,2853.38,16425201.281328,12840299.025456,29265500.306784,0.561247923635206,0.438752076364794,0.3352,0.6648,1.67436731394751,0.659976047480135,0.106962844542674
97,2003,山西,0.3831,3314.0,1269.5934,2044.4066,7005.03,2299.17,8893539.854802,4700438.322522,13593978.177324,0.654226433115601,0.345773566884399,0.3831,0.6169,1.70771713159906,0.560501810478844,0.149937957629321
98,2003,内蒙古,0.4461,2386.0,1064.3946,1321.6054,7012.9,2267.65,7464492.89034,2996938.48531,10461431.37565,0.713525006502871,0.286474993497129,0.4461,0.5539,1.5994732268614,0.51719623306938,0.146241995145733
99,2003,辽宁,0.5601,4210.0,2358.021,1851.979,7240.58,2934.44,17073439.69218,5434521.25676,22507960.94894,0.758551151342035,0.241448848657965,0.5601,0.4399,1.35431378564905,0.548872126978779,0.0852219938560882
100,2003,吉林,0.4496,2704.0,1215.7184,1488.2816,7005.17,2530.41,8516314.064128,3765962.643456,12282276.707584,0.693382364433248,0.306617635566752,0.4496,0.5504,1.54222056146185,0.557081459968663,0.121004649404641
101,2003,黑龙江,0.526,3815.0,2006.69,1808.31,6678.9,2508.94,13402481.841,4536941.2914,17939423.1324,0.747096589566142,0.252903410433858,0.526,0.474,1.42033572160864,0.533551498805607,0.103277321114955
102,2003,上海,0.776,1766.0,1370.416,395.584,14867.49,6653.92,20374646.17584,2632184.28928,23006830.46512,0.885591181572334,0.114408818427666,0.776,0.224,1.14122574944888,0.510753653694936,0.0401215548457452
103,2003,江苏,0.4417,7458.0,3294.1986,4163.8014,9262.46,4239.26,30512382.764556,17651436.722964,48163819.48752,0.633512522246335,0.366487477753665,0.4417,0.5583,1.43425972888009,0.656434672673589,0.0742092180178052
104,2003,浙江,0.5299,4857.0,2573.7243,2283.2757,13179.53,5389.04,33920476.623579,12304664.078328,46225140.701907,0.733810132506089,0.266189867493911,0.5299,0.4701,1.38480870448403,0.566240943403341,0.0875090491139655
105,2003,安徽,0.32,6163.0,1972.16,4190.84,6778.03,2127.48,13367359.6448,8915928.2832,22283287.928,0.599882732206825,0.400117267793175,0.32,0.68,1.87463353814633,0.588407746754669,0.164777982722812
106,2003,福建,0.452,3502.0,1582.904,1919.096,9999.54,3733.89,15828311.86416,7165693.36344,22994005.2276,0.688366889869238,0.311633110130763,0.452,0.548,1.52293559705584,0.568673558632778,0.11365359115716
