row_id,ADMINCODE,REGION,ZONE,YEAR,RESILIENCE,URB,GOV,INNO,EDU,OPENPC,FIN,DIG,PRI,INC,SOC
111,120000,天津,东部,2009,0.469221,78.0130293159609,19.6910466582598,3.02415768313943,15.4418828049952,519798322.47557,7.76061370323665,1.23946455131383,102.605863192182,16967,10.3088198669371
112,120000,天津,东部,2010,0.506912,79.5996920708237,20.1563506470692,3.14125098050609,16.6729612736411,632025019.245574,8.00491889676173,1.06951871657754,110.08468052348,19266,10.0040672845066
113,120000,天津,东部,2011,0.535635,80.462341536167,22.1427426810478,3.34960725479171,16.829869790072,770888635.346756,9.66163328197226,0.782997762863535,118.568232662192,21714,9.37132932144985
114,120000,天津,东部,2012,0.534562,81.5674891146589,23.7002101072653,3.56707928761064,17.6720899958474,839145645.86357,11.0063032179586,1.14147353856797,125.544267053701,24030,9.38638770815739
115,120000,天津,东部,2013,0.552631,82.2695035460993,25.6320509984515,3.64073575735228,18.0981558992786,911360198.58156,11.9894624650592,1.19047619047619,134.751773049645,26359,8.99415897474119
116,120000,天津,东部,2014,0.556882,82.5752274317705,27.1103133281958,3.77855582902902,17.9224876070302,936921448.56543,12.7004116309231,1.28595600676819,160.251924422673,28832,8.99781606406212
117,120000,天津,东部,2015,0.563292,82.9047949965254,29.7104646353233,3.73783779603075,15.6987949943539,794182091.730368,13.3792913277265,1.49253731343284,202.918693537179,31291,9.73811623122496
118,120000,天津,东部,2016,0.551093,83.2986832986833,32.2328616735789,3.38376452588642,13.5829033121319,711406424.116424,13.5799672393964,1.67832167832168,257.103257103257,34074,10.2156278129334
119,120000,天津,东部,2017,0.59329,83.5460992907801,26.3645125536119,3.53354414569205,13.2394426267464,800845141.843972,13.9093698295664,1.96660482374768,306.382978723404,37022,14.000743326814
120,120000,天津,东部,2018,0.544526,83.9479392624729,23.2222047609426,3.43778599878833,14.4430193737996,886169855.38684,13.7574927598051,2.46153846153846,356.47143890094,39506,16.2885574704495
121,120000,天津,东部,2019,0.652388,84.3321299638989,25.2976414926541,3.09164695658532,13.1515224807422,770004844.765343,13.5740457472164,2.44988864142539,400.0,42404,15.4956394081632
122,120000,天津,东部,2020,0.549141,84.7152126892574,22.4967875499714,3.74982150506926,14.0546115156996,766559596.250901,14.681610508281,2.7418723070897,400.0,43854,16.4653243847875
123,120000,天津,东部,2021,0.55256,84.8506919155135,20.0990111634609,3.29796513933165,15.20197935005,944501092.498179,13.6154694582757,3.23712948517941,400.0,47449,18.9675024979778
124,120000,天津,东部,2022,0.545438,85.1063829787234,16.9216225933227,2.27706487217153,17.5446822695919,912692589.875275,13.3757330060376,2.87710645293876,400.0,48976,20.015165779554
125,120000,天津,东部,2023,0.548104,85.4838709677419,19.5994574991187,2.34817492882009,14.9916778949037,834970674.486804,13.4418335095864,2.14611872146119,400.0,51271,20.3416025996671
126,120000,天津,东部,2024,0.547834,85.4838709677419,20.0877703988504,2.34817492882009,14.9916778949037,836217008.797654,13.4418335095864,2.14611872146119,400.0,53581,20.3416025996671
127,640000,宁夏,西部,2007,0.344211,44.0983606557377,27.5581130355515,1.98056646681828,19.5617118048377,25926475.4098361,5.44667274384685,1.0507880910683,39.344262295082,6630,10.5437254496589
128,640000,宁夏,西部,2008,0.348018,44.9838187702265,28.4945575842697,1.33390838236653,16.6538307507471,30411067.961165,5.25807584269663,1.0507880910683,50.1618122977346,7924,11.4136964357229
129,640000,宁夏,西部,2009,0.378931,46.08,34.1327859793163,1.01767045980202,14.68683504487,19239664.0,5.44722507302439,1.20481927710843,54.4,8742,11.0278471644
130,640000,宁夏,西部,2010,0.408939,47.867298578199,35.4730546541961,1.07079439671408,14.6341900884257,30963491.3112164,5.61812050645798,1.01180438448567,60.0315955766193,9864,6.28306996932901
131,640000,宁夏,西部,2011,0.412697,50.1543209876543,36.5415674500466,1.11487300080747,14.5939284044708,35273858.0246914,6.1755875349415,0.985221674876847,64.8148148148148,11480,10.1925174597328
132,640000,宁夏,西部,2012,0.407541,51.1380880121396,40.5612388549976,1.11180526632422,12.3154704058494,33637481.0318665,6.90286250586579,0.890207715133531,69.8027314112291,13104,10.3660511823777
133,640000,宁夏,西部,2013,0.434026,52.8528528528528,39.6305365811746,1.15883271182031,12.2441678952389,48313603.6036036,7.71147484641492,1.10803324099723,84.0840840840841,14566,11.1406209348712
134,640000,宁夏,西部,2014,0.461013,54.8672566371681,40.4401956425078,1.1654755360088,12.2624818831526,80165368.7315634,8.04397914224504,1.09289617486339,104.719764011799,15907,11.637763006647
135,640000,宁夏,西部,2015,0.480593,57.0175438596491,44.1377839807707,1.51516482358211,12.5174573338369,54667470.7602339,8.44770101574009,1.09439124487004,137.426900584795,17329,12.844205921879
136,640000,宁夏,西部,2016,0.478129,58.705035971223,45.1046235708636,1.4555135746967,12.1614296873755,46798402.8776978,8.6215574890343,1.13154172560113,161.151079136691,18832,13.0916511231208
137,640000,宁夏,西部,2017,0.51035,60.9929078014184,42.8953535606037,1.86118678885182,12.4309794723117,71482510.6382979,8.31172077617723,1.12517580872011,191.489361702128,20562,11.8241815877271
138,640000,宁夏,西部,2018,0.544898,62.112676056338,40.4267563101818,2.39736163375756,12.0128817668034,53191042.2535211,8.14483505213378,1.17647058823529,211.267605633803,22400,12.4018716615224
139,640000,宁夏,西部,2019,0.538119,63.5983263598326,38.3697478991597,2.17341426277037,12.4682783027067,48669609.4839609,8.16059757236228,1.14285714285714,224.546722454672,24412,12.9000410209346
140,640000,宁夏,西部,2020,0.529011,64.9098474341193,37.4177893486338,1.8853522116242,14.0790078089113,24721858.5298197,8.07572732098173,1.15774240231548,224.546722454672,25735,13.9459320705774
141,640000,宁夏,西部,2021,0.526465,66.0689655172414,31.1209188788632,2.03096877210429,14.0073815209855,41793103.4482759,7.22287607340569,1.41442715700141,224.546722454672,27904,16.0607609829889
142,640000,宁夏,西部,2022,0.538799,66.3461538461538,31.1062571014379,1.60972384041314,13.3734294801146,44230769.2307692,6.8996591309799,1.40449438202247,224.546722454672,29599,17.3756966967913
143,640000,宁夏,西部,2023,0.555274,67.3525377229081,32.9516462841016,1.60216514976761,12.7722139113156,40192043.8957476,7.25117591721543,1.21293800539084,224.546722454672,31604,16.6999737349975
144,640000,宁夏,西部,2024,0.562876,67.3525377229081,32.1563567638293,1.60216514976761,12.7722139113156,39780521.2620027,7.25117591721543,1.21293800539084,224.546722454672,33355,16.6999737349975
145,340000,安徽,中部,2007,0.338756,38.705459300425,15.6622091266244,1.28313354718892,17.1221147584477,26041657.4043805,2.84073738289513,1.0183299389002,23.700555737169,6724,16.5971234011079
146,340000,安徽,中部,2008,0.363299,40.5052974735126,17.3059667776879,1.44372332481346,17.3793203936544,32899507.7424613,3.31592716727781,1.0183299389002,28.3618581907091,7893,13.8544012919442
147,340000,安徽,中部,2009,0.357104,42.0975371065079,19.7144882049205,1.70267797116606,15.1168110853813,25571237.9709672,3.3245280587591,1.02806335093081,30.9900505627141,8683,14.1910062000448
148,340000,安徽,中部,2010,0.375761,43.0082256169213,19.5294268592734,2.24067769099671,14.9292204002922,40747644.7876448,2.9962716418361,1.01903995709306,38.4421688769515,9955,12.913460683797
149,340000,安徽,中部,2011,0.396273,44.7923643670462,20.2825316704432,2.33212937368869,17.0969333846,52426734.7622237,3.0881368629835,1.0689990281827,44.0388479571333,11873,11.8977048068568
150,340000,安徽,中部,2012,0.41698,46.3031114084978,21.5956536198935,2.42362427764636,18.1251751447232,65715189.0264302,3.35683170044216,1.03021978021978,50.8531281365005,13593,11.5927503338795
151,340000,安徽,中部,2013,0.450552,47.8623914495658,21.1314127477652,2.52132910621217,16.934310261191,76016982.2979292,4.42479595802565,1.19299595920724,59.1182364729459,15154,12.2684605109789
152,340000,安徽,中部,2014,0.465249,49.3079873269968,20.7111995275248,2.77845672262602,15.9316910014794,82003168.2507921,4.65991998117204,1.41843971631206,75.3710188427547,16796,12.3457901846015
153,340000,安徽,中部,2015,0.486341,50.9732157710863,21.9838279230589,2.82381594996001,16.3528987346846,79594962.5686242,5.18983517405754,1.49863760217984,95.4915987356513,18363,13.1998221037944
154,340000,安徽,中部,2016,0.507492,52.6272169733134,20.9936634521452,4.6985759422048,16.4924542137807,73616544.0079563,5.49686973775739,1.547089537807,121.498425327366,19998,13.78955087408
155,340000,安徽,中部,2017,0.540702,54.284299157999,20.9050013141844,4.19758180859827,16.3594629751717,89188750.2063728,5.67188521441424,1.58853157690817,151.229981839194,21863,13.9032304342009
156,340000,安徽,中部,2018,0.558274,55.6451612903226,19.3236580037576,4.48574667346302,16.9390534300039,103423826.530612,6.29945105833718,1.57015026169171,185.648452929559,23984,14.5259922551981
157,340000,安徽,中部,2019,0.591981,57.0256073539068,20.0627485038879,5.11280778981145,16.5337341150561,112820623.768877,6.35247180795484,1.60068846815835,220.945502298096,26415,14.6648773981294
