row_id,ADMINCODE,REGION,ZONE,YEAR,FULL_INDEX,INDEX_WITHOUT_URIR,INDEX_WITHOUT_REPC,INDEX_WITHOUT_BOTH,FULL_RANK,RANK_WITHOUT_URIR,RANK_WITHOUT_REPC,RANK_WITHOUT_BOTH,RANK_CHANGE_WITHOUT_URIR,RANK_CHANGE_WITHOUT_REPC,RANK_CHANGE_WITHOUT_BOTH
71,340000,安徽,中部,2009,0.3571039638950321,0.3439267690860798,0.368908828925761,0.3561567132488497,22,22,22,22,0,0,0
72,370000,山东,东部,2009,0.4655551631757134,0.4579202542302191,0.4816160935707909,0.4751349566073305,7,6,7,6,1,0,1
73,140000,山西,中部,2009,0.4050670778692695,0.3981218027530143,0.4186071859914823,0.4125314685256753,10,11,10,11,1,0,1
74,440000,广东,东部,2009,0.4931530406624328,0.4923131848434571,0.5093931907651315,0.510077056982008,5,3,5,3,2,0,2
75,450000,广西,西部,2009,0.3234956896058661,0.3216603946594872,0.3344527677518138,0.3335259966985358,27,26,27,26,1,0,1
76,650000,新疆,西部,2009,0.3689078836126103,0.3639480607266152,0.3809602606857451,0.3768325512603166,19,19,19,19,0,0,0
77,320000,江苏,东部,2009,0.5355187411726507,0.5254764282444224,0.5516870514688458,0.5426918992452624,2,2,2,2,0,0,0
78,360000,江西,中部,2009,0.3584748614073649,0.34142449485895,0.370475336236216,0.3536836727113625,21,23,21,23,2,0,2
79,130000,河北,东部,2009,0.4322541316998232,0.4225466951611618,0.4458796781133094,0.436919135610253,8,8,9,8,0,1,0
80,410000,河南,中部,2009,0.3353113480542239,0.3179840156193346,0.3460272972453278,0.3287969826423376,24,27,24,27,3,0,3
81,330000,浙江,东部,2009,0.5018180847208698,0.4822380929574764,0.5183596312709723,0.4994790595702933,3,5,3,4,2,0,1
82,460000,海南,东部,2009,0.3984957761312891,0.3837322242091688,0.4113244893589398,0.3969475682472652,12,15,12,15,3,0,3
83,420000,湖北,中部,2009,0.3896395415562455,0.3720737021726076,0.402813159042858,0.3856039171817256,14,18,14,18,4,0,4
