row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
134,2011,江苏,49110.27,6221.72,170.37,0.0273831030647474
135,2011,浙江,32318.85,3842.59,78.11,0.0203274354016432
136,2011,安徽,15300.65,3302.99,81.96,0.0248138807565267
137,2011,福建,17560.18,2198.18,37.95,0.0172642822698778
138,2011,江西,11702.82,2534.6,43.76,0.017265051684684
139,2011,山东,45361.85,5002.07,113.95,0.0227805688444984
140,2011,河南,26931.03,4248.82,95.6,0.02250036480717
141,2011,湖北,19632.26,3214.74,101.11,0.0314519992285535
142,2011,湖南,19669.56,3520.76,85.26,0.0242163623763051
143,2011,广东,53210.28,6712.4,232.62,0.0346552648829033
144,2011,广西,11720.87,2545.28,53.9,0.0211764520995725
145,2011,海南,2522.66,778.8,23.97,0.0307781201848998
146,2011,重庆,10011.37,2570.24,100.81,0.0392220181772908
147,2011,四川,21026.68,4674.92,115.8,0.0247704773557622
148,2011,贵州,5701.84,2249.4,55.45,0.0246510180492576
149,2011,云南,8893.12,2929.6,95.86,0.0327211906062261
150,2011,西藏,605.83,758.11,16.05,0.0211710701613222
151,2011,陕西,12512.3,2930.81,96.13,0.0327998061969217
152,2011,甘肃,5020.37,1791.24,84.99,0.0474475782139747
153,2011,青海,1670.44,967.47,41.76,0.0431641291202828
154,2011,宁夏,2102.21,705.91,35.23,0.0499072119675313
155,2011,新疆,6610.05,2284.49,53.67,0.0234932085498295
156,2012,北京,17879.4,3685.3076,113.537,0.030808011792557
157,2012,天津,12893.88,2143.2125,38.4869,0.0179575753687513
158,2012,河北,26575.01,4079.4366,127.9295,0.0313595999996666
159,2012,山西,12112.83,2759.4582,88.1725,0.0319528304505573
160,2012,内蒙古,15880.58,3425.9895,131.5865,0.0384083196985864
161,2012,辽宁,24846.43,4558.5851,93.2663,0.0204594842377737
162,2012,吉林,11939.24,2471.1956,113.8468,0.0460695219755166
163,2012,黑龙江,13691.58,3171.5236,104.8634,0.033064045306174
164,2012,上海,20181.72,4184.017,55.1842,0.01318928675481
165,2012,江苏,54058.22,7027.6665,193.8259,0.0275804066684155
166,2012,浙江,34665.33,4161.8779,77.698,0.018668976329171
167,2012,安徽,17212.05,3961.008,95.5189,0.0241147960317172
168,2012,福建,19701.78,2607.502,48.5982,0.018637838053432
169,2012,江西,12948.88,3019.2244,66.9129,0.0221622811474364
170,2012,山东,50013.24,5904.5188,154.4192,0.0261527154422813
171,2012,河南,29599.31,5006.399,109.4525,0.0218625203464606
172,2012,湖北,22250.45,3759.7915,95.634,0.0254359849475696
173,2012,湖南,22154.23,4119.0015,109.4342,0.0265681379334288
174,2012,广东,57067.92,7387.8565,235.4391,0.0318683910549697
175,2012,广西,13035.1,2985.2261,60.009,0.020101994954419
176,2012,海南,2855.54,911.673,21.2315,0.0232885036630459
177,2012,重庆,11409.6,3046.3599,128.6852,0.042242283979644
178,2012,四川,23872.8,5450.9893,135.9422,0.0249389959360221
179,2012,贵州,6852.2,2755.6818,65.731,0.0238528991264521
180,2012,云南,10309.47,3572.6574,101.1156,0.0283026298575397
181,2012,西藏,701.03,905.3384,23.6654,0.0261398389817553
