row_id,ADMINCODE,REGION,ZONE,YEAR,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
138,640000,宁夏,西部,2018,49614,18733.8028169014,30.7612081236875,49.6467437752835,3.9,59.6,51,2.724206,40.5,12.2057237362479,0.0037205857216113,5.10055952531958,93.85,98.4,22.94,559.479554
139,640000,宁夏,西部,2019,52537,19513.249651325,29.4502499495929,50.1907429638522,3.7,58.98,51,2.669778,41.3,12.2057237362479,0.0033346672002134,3.75723949968365,96.65,98.39,26.2,617.624521
140,640000,宁夏,西部,2020,55021,18052.7045769764,28.333648571969,50.2742461390693,3.9,57.3,51,2.571819,42.0,12.2057237362479,0.001809771756439,3.34243021967629,97.52,98.87,26.78,1426.086957
141,640000,宁夏,西部,2021,63461,18408.275862069,32.2160670639895,46.3013818055011,4.1,56.82,51,2.496642,42.0,12.2057237362479,0.0013142408787759,3.34129379714124,97.75,99.66,26.23,1651.626016
142,640000,宁夏,西部,2022,70263,18359.8901098901,28.9794376043077,44.2346119186616,4.1,57.37,51,2.446379,42.2,12.2057237362479,0.0010735415115777,3.66533362723179,98.48,99.99,28.0,1361.22449
143,640000,宁夏,西部,2023,72957,18541.8381344307,28.6808117027715,45.1476952022578,4.1,59.67,51,2.385494,42.4,12.2057237362479,0.0009990592662276,4.35827747262159,96.79,99.33,27.17,2175.210084
144,640000,宁夏,西部,2024,75484,19462.2770919067,29.190731845154,49.3603256523951,4.1,59.67,51,2.337576,42.4,12.2057237362479,0.0009990592662276,4.35827747262159,96.79,99.33,27.17,2175.210084
145,340000,安徽,中部,2007,12989,4007.68224910101,43.7117612535475,43.4861992545583,4.1,23.69,23,2.983701,36.1,22.0770373728216,0.0071988012491185,3.02694098068064,83.15,94.4,13.55,218.56
146,340000,安徽,中部,2008,15535,4963.65118174409,43.9928845932015,42.1330783697742,3.9,23.69,23,2.83418,36.0,17.7217184824065,0.005841747481009,3.32335638352771,87.6,95.11,14.15,246.328767
147,340000,安徽,中部,2009,17715,5754.03686184962,40.3339060282363,42.0020801310667,3.9,25.6,23,2.844895,37.2,16.5398952571171,0.004955498080941,2.76714349742287,88.62,95.25,14.91,276.084507
148,340000,安徽,中部,2010,21923,7219.23787141178,44.4193676790552,39.6473909040136,3.7,27.5,23,2.694945,37.5,13.9398330540838,0.0040159096741082,2.50114970957756,90.52,96.06,16.01,316.377025
149,340000,安徽,中部,2011,27303,8854.98995311453,44.3101553440973,38.2427893324491,3.7,29.65,27,2.693437,39.5,14.9380714649768,0.0032514783633918,2.48138807565267,93.35,96.55,18.0,355.717319
150,340000,安徽,中部,2012,30697,10275.6774841084,45.2591636981477,38.5743960483488,3.7,37.13,31,2.648735,38.8,13.866162896569,0.0028328889906606,2.41150615625813,94.61,98.02,18.47,401.246106
151,340000,安徽,中部,2013,34404,11764.6960587842,47.7063882713481,39.726972405752,3.4,39.13,36,2.575028,39.9,12.9340264282938,0.0024353867081228,2.49259142605565,96.14,98.4,19.61,443.273543
152,340000,安徽,中部,2014,37580,13268.3008170752,47.5641602881585,41.0400671412141,3.2,41.43,37,2.504942,41.2,12.0922125960825,0.0021891943498359,2.24609249372869,96.81,98.63,20.33,485.296053
153,340000,安徽,中部,2015,39692,18617.201796706,46.8466370554742,44.5500016784719,3.1,43.53,39,2.489234,41.2,11.7755715196885,0.0020145859209775,2.38270207539211,97.55,98.79,20.82,531.896844
154,340000,安徽,中部,2016,43686,20988.7286590419,48.394245828769,46.7562728782828,3.2,45.47,44,2.487713,41.7,9.14812013212862,0.0010339178263398,2.41972134457129,98.05,99.2,21.82,565.50035
155,340000,安徽,中部,2017,49092,23656.5956744263,45.3342381536507,48.5665280595224,2.9,48.88,44,2.480013,42.2,9.14812013212862,0.0006584400967778,3.20190334649191,98.57,99.43,22.19,618.671
156,340000,安徽,中部,2018,56063,26590.1909150757,46.387711783815,50.8028308571664,2.8,51.89,44,2.457345,42.5,9.14812013212862,0.000478376050031,3.18495469519107,98.56,99.75,22.95,670.834879
157,340000,安徽,中部,2019,60561,29036.7695338148,43.0548603802376,51.4567586272408,2.6,54.57,44,2.435132,42.7,9.14812013212862,0.0004098193809284,4.2222769343986,98.7,99.36,23.69,722.49809
158,340000,安徽,中部,2020,62411,29469.6150696151,43.031662159685,51.6535081381448,2.8,66.8,44,2.373165,42.0,9.14812013212862,0.0002853276933384,2.55339134204579,99.24,99.6,24.29,1054.127358
159,340000,安徽,中部,2021,69676,34122.0350073614,46.0830846852543,51.5940251660981,2.5,67.24,44,2.341008,44.1,9.14812013212862,0.0002008683149615,2.62743625717127,99.48,99.81,23.74,1129.774376
160,340000,安徽,中部,2022,72888,33761.8736739024,42.8309573759693,51.8843159364863,2.5,72.45,44,2.305645,45.3,9.14812013212862,0.0001593895224367,2.39493160918306,99.42,99.76,24.57,1253.256862
161,340000,安徽,中部,2023,76830,35758.3728148995,45.5732989956696,52.4588421826714,2.5,74.09,44,2.243946,46.1,9.14812013212862,0.0001549395756908,2.23969956858104,99.73,98.42,24.77,1450.424448
162,340000,安徽,中部,2024,82694,37413.6861015842,44.9265437485756,54.2261561435807,2.5,74.09,44,2.201049,46.1,9.14812013212862,0.0001549395756908,2.23969956858104,99.73,98.42,24.77,1450.424448
163,370000,山东,东部,2007,24329,9189.17476246397,74.0721091142207,34.0591862875857,3.2,34.06,35,2.740268,38.6,14.7131582306619,0.0080204770645432,1.5005415920596,97.07,98.79,18.66,818.323978
164,370000,山东,东部,2008,28861,11318.6789848147,72.3584480119497,34.3777438372033,3.7,34.06,35,2.755775,39.8,13.2409190517299,0.0062421143502224,2.16663092588348,98.5,99.39,19.6,810.557244
165,370000,山东,东部,2009,31282,13054.9102428722,67.2843340973844,35.6960542707036,3.4,37.08,35,2.763406,41.2,13.0914193251368,0.0053834019390131,2.33101873812227,99.17,99.47,20.94,848.447078
166,370000,山东,东部,2010,35599,15248.5398414685,66.3295561190148,37.6685091016287,3.4,40.1,35,2.697043,41.5,12.8637924681259,0.0045332743754145,2.72446761543342,99.3,99.57,22.23,910.284056
167,370000,山东,东部,2011,40581,17750.1293326436,69.0899967413491,39.3455506093706,3.4,43.39,38,2.582251,41.5,11.3485763434695,0.0046778565924909,2.27805688444984,99.48,99.74,23.62,961.297115
168,370000,山东,东部,2012,44348,20242.9954676555,68.7512278728838,41.0509971529868,3.3,48.87,40,2.576899,42.1,11.1529355895273,0.0040710193610864,2.61528456165785,99.48,99.85,24.7,1000.193257
169,370000,山东,东部,2013,48673,22875.8465011287,68.1729159191484,42.8231064774429,3.2,50.32,45,2.515393,42.6,10.4462416806247,0.0034745470943703,3.18158713072599,99.58,99.85,25.34,1039.197531
170,370000,山东,东部,2014,51933,25603.0791190865,70.0377996770378,44.3605883233415,3.3,51.14,48,2.45935,42.8,10.1314628516508,0.003131868564721,2.32217920084266,99.49,99.92,25.77,1082.146078
171,370000,山东,东部,2015,56205,21843.6042975877,67.022100579272,46.2500542605374,3.4,52.74,49,2.439675,42.3,10.1269696575075,0.002759510063521,2.6312695378551,99.37,99.95,25.82,1136.160188
172,370000,山东,东部,2016,59239,23545.6733179585,66.9336315176906,48.2743246117847,3.5,54.39,53,2.437437,42.3,8.6380089342693,0.0012419485215911,2.73300126439,99.51,99.78,24.65,1199.313052
173,370000,山东,东部,2017,62993,25443.9350144523,65.8713168582044,49.5996800614485,3.4,58.45,53,2.433457,42.1,8.6380089342693,0.0006606667608284,2.55810939255163,99.57,99.82,25.13,1241.611591
174,370000,山东,东部,2018,66284,27270.3185471867,64.2057784606612,51.2757149780417,3.4,60.56,53,2.426766,41.8,8.6380089342693,0.0005120864710445,2.84329410273875,99.2,99.4,25.28,1071.678682
175,370000,山东,东部,2019,69901,29267.0690678805,60.771469753514,52.8089537216209,3.3,62.53,53,2.381378,41.8,8.6380089342693,0.0003990615320277,2.85388127853881,99.14,99.73,25.28,1131.084587
176,370000,山东,东部,2020,71825,29435.5140186916,58.3960325881825,53.5414337167677,3.1,63.7,53,2.33168,41.6,8.6380089342693,0.0002655285432881,2.59526844657774,99.31,99.84,25.64,1291.640043
177,370000,山东,东部,2021,81510,34280.6293018682,62.1903909790355,53.1059955209761,2.9,66.27,53,2.263441,43.0,8.6380089342693,0.0001994565322315,2.2776944906413,99.33,99.88,26.5,1384.64685
178,370000,山东,东部,2022,86143,34167.3718390239,58.5729798006865,53.3452314480188,2.9,68.25,53,2.218453,43.8,8.6380089342693,0.0001665964426692,1.79822453154231,99.47,99.92,26.45,1285.238624
179,370000,山东,东部,2023,90771,37689.0249925911,59.3302675146681,53.8452264450351,2.9,72.96,53,2.169036,43.9,8.6380089342693,0.0001460865636204,1.66360137786983,99.66,99.92,26.48,1742.39037
180,370000,山东,东部,2024,97575,39741.2698412698,58.9690002684059,53.101887267186,2.9,72.96,53,2.140476,43.9,8.6380089342693,0.0001460865636204,1.66360137786983,99.66,99.92,26.48,1742.39037
181,140000,山西,中部,2007,17542,5756.85234305924,56.9462435233161,34.1970483186198,3.2,37.12,36,2.889811,32.6,17.6214704494912,0.023362423343891,4.28318348064614,79.5,92.96,8.55,399.894681
182,140000,山西,中部,2008,21234,7097.91849897391,56.8812641632827,34.0647930222899,3.3,37.12,36,2.906473,35.2,14.8014675342655,0.0181088190502561,4.88889902815166,82.64,93.27,9.54,421.955128
183,140000,山西,中部,2009,20906,8196.67347534286,51.5995389639495,36.557725670155,3.9,41.01,36,2.968356,36.5,14.8126643908445,0.0177458167776596,4.52135493372607,87.3,95.38,10.02,438.681794
184,140000,山西,中部,2010,25434,9284.27532176833,50.2065901747991,34.1861431507542,3.6,44.9,36,2.946988,38.0,13.2862004290255,0.0140298071631532,4.26487035042664,89.94,97.26,10.66,437.156704
185,140000,山西,中部,2011,30534,10958.4503088153,51.3327833830404,32.6562270524306,3.5,44.9,39,2.885944,38.3,10.6597885152005,0.0128423777353502,3.47653192884489,94.63,97.48,11.21,484.340045
186,140000,山西,中部,2012,32864,12702.3675310034,54.9520558370116,35.8500740385685,3.3,45.78,44,2.8641,38.6,11.4950655219933,0.011142590579555,3.19519036333196,95.18,97.64,11.79,549.797336
187,140000,山西,中部,2013,33848,14538.3309759547,56.1566665456598,38.4184797116925,3.1,47.56,49,2.800101,40.0,11.5147824345969,0.0104728376935397,3.23946497344998,96.1,98.14,12.88,598.919568
188,140000,山西,中部,2014,34248,16207.1995464853,59.0105274075611,41.1758869587505,3.4,48.64,51,2.732319,40.1,11.991450800764,0.0099894995328532,3.0875641756988,95.77,98.54,13.34,602.233251
189,140000,山西,中部,2015,33593,15189.2583120205,47.9802627542748,49.7659761413943,3.5,50.0,54,2.731965,40.1,12.2716366462776,0.0094674056300902,2.90566379489157,97.31,98.85,13.52,623.502898
190,140000,山西,中部,2016,33972,16218.5543540125,45.4086781029263,51.1325587624724,3.5,51.52,56,2.712954,40.5,11.6596631621242,0.0041510413178865,3.36963305588446,97.92,99.29,14.77,649.267643
191,140000,山西,中部,2017,41242,17260.6837606838,49.7015775658739,49.2243325531783,3.4,53.36,56,2.700408,40.6,11.6596631621242,0.0023556540530091,3.43066004333914,98.34,97.81,15.92,683.138334
192,140000,山西,中部,2018,45517,18627.3557966876,53.5188647754038,51.0267513049799,3.3,56.03,56,2.641277,41.3,11.6596631621242,0.001766501024558,3.97510685331858,98.3,99.7,16.81,721.337127
193,140000,山西,中部,2019,48469,19853.5887903918,49.8380303815096,51.1154608055844,2.7,58.58,56,2.57805,42.3,11.6596631621242,0.0013477502122441,4.80071156246551,96.43,99.28,17.22,774.741507
194,140000,山西,中部,2020,51051,18862.1776504298,44.9350110646524,50.2691246720043,3.1,64.1,56,2.507062,43.9,11.6596631621242,0.0008998856220143,5.09267502401744,98.7,99.6,18.41,1072.400612
195,140000,山西,中部,2021,65625,21444.8275862069,56.1657109114615,43.7482510144116,2.3,65.79,56,2.445323,43.7,11.6596631621242,0.0006427522037218,4.25611597465234,97.9,99.53,18.29,1228.829537
196,140000,山西,中部,2022,73506,20650.675093364,58.7763124308687,40.6505653946427,2.3,65.6,56,2.421859,44.0,11.6596631621242,0.0005022690051164,4.10414362290479,97.56,98.66,18.71,1244.302789
