row_id,全国主要城市间公路里程表,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
35,北京市,0.000904159132007233,0,0.000443066016836509,0.000561167227833895,0.000403551251008878,0.000376364320662401,0.000381970970206264,0,0.003584229390681,0.00138504155124654,0.000718390804597701,0.000798084596967279,0.00060790273556231,0.000968992248062015,0.0008764241893076,0.0006215040397762,0.00139470013947,0.0017301038062283,0.0007980845969672,0.0004985044865403,0.0021881838074398,0.0019880715705765,0.0008169934640522,0.0006711409395973,0.000462748727441,0.0084745762711864,0.0002566735112936,0.000261780104712,0.0003097893432465,0.000669792364367,0.0004681647940074
36,福建省,0.000853242320819113,0.000443066016836509,0,0.000368459837877671,0.00101522842639594,0.00058343057176196,0.000493096646942801,0,0.000469263256687001,0.000592417061611374,0.000307125307125307,0.000864304235090752,0.000884955752212389,0.000315855969677827,0.0008960573476702,0.0013793103448275,0.0003507541213609,0.0003607503607503,0.0003699593044765,0.0003403675970047,0.0005555555555555,0.0004580852038479,0.0004943153732081,0.000903342366757,0.0003775009437523,0.0004657661853749,0.0002083767451552,0.0002104377104377,0.0003716090672612,0.0011185682326621,0.0004024144869215
37,甘肃省,0.000595947556615018,0.000561167227833895,0.000368459837877671,0,0.000367107195301028,0.000410004100041,0.000558971492453885,0,0.000664893617021277,0.0008110300081103,0.000320307495195388,0.000642260757867694,0.000528820729772607,0.000551267916207277,0.0005434782608695,0.0005027652086475,0.0004001600640256,0.0008305647840531,0.0018903591682419,0.0044642857142857,0.0005998800239952,0.00078125,0.0014471780028943,0.0004568296025582,0.0009225092250922,0.0005443658138268,0.0004730368968779,0.0004906771344455,0.0004591368227731,0.000456204379562,0.0007824726134585
38,广东省,0.000725689404934688,0.000403551251008878,0.00101522842639594,0.000367107195301028,0,0.00137174211248285,0.000735835172921266,0,0.00045475216007276,0.000569476082004556,0.000266453503863576,0.000816326530612245,0.00120048019207683,0.000294724432655467,0.0006493506493506,0.0011428571428571,0.0003248862897985,0.0003521126760563,0.0003685956505713,0.0003392130257801,0.0004933399111988,0.0004442470013327,0.0004918839153959,0.0006049606775559,0.0004545454545454,0.0004212299915754,0.0024813895781637,0.0002099958000839,0.0005861664712778,0.0006944444444444,0.0005347593582887
39,广西壮族自治区,0.000537345513164965,0.000376364320662401,0.00058343057176196,0.000410004100041,0.00137174211248285,0,0.00153846153846154,0,0.000420521446593776,0.000516795865633075,0.000251509054325956,0.000712250712250712,0.000988142292490119,0.000276548672566372,0.0004943153732081,0.0007363770250368,0.0003029385034837,0.0003312355084465,0.0003632401017072,0.0003755163349605,0.0004353504571179,0.0004115226337448,0.0004823926676314,0.0004555808656036,0.0006706908115358,0.000385059684251,0.0003028467595396,0.0002233638597274,0.0010235414534288,0.0005045408678102,0.0008613264427217
40,贵州省,0.000553709856035437,0.000381970970206264,0.000493096646942801,0.000558971492453885,0.000735835172921266,0.00153846153846154,0,0,0.000427533133817871,0.000527426160337553,0.000249438762783737,0.000726216412490922,0.00104493207941484,0.000274047684297068,0.0005081300813008,0.0007674597083653,0.0002999400119976,0.0003883495145631,0.0004755111745126,0.0004967709885742,0.0004405286343612,0.0004664179104477,0.0007027406886858,0.0004714757190004,0.0011890606420927,0.0003802281368821,0.0003382949932341,0.0002613012803762,0.0014005602240896,0.000524109014675,0.0019569471624266
41,海南省,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,河北省,0.0010482180293501,0.003584229390681,0.000469263256687001,0.000664893617021277,0.00045475216007276,0.000420521446593776,0.000427533133817871,0,0,0.00225733634311512,0.000598444045481747,0.00102669404517454,0.000732064421669107,0.0007627765064836,0.0010111223458038,0.0007112375533428,0.001004016064257,0.001230012300123,0.000893655049151,0.0005787037037037,0.0031847133757961,0.0044642857142857,0.001058201058201,0.0007473841554559,0.0005313496280552,0.003003003003003,0.0002763957987838,0.0002823263692828,0.0003390979993218,0.0007457121551081,0.0005385029617662
43,河南省,0.00154083204930663,0.00138504155124654,0.000592417061611374,0.0008110300081103,0.000569476082004556,0.000516795865633075,0.000527426160337553,0,0.00225733634311512,0,0.000473260766682442,0.00188323917137476,0.00108342361863489,0.000570450656018254,0.0013404825737265,0.0010384215991692,0.0006954102920723,0.0009225092250922,0.0008291873963515,0.0006863417982155,0.0023041474654377,0.002020202020202,0.0018450184501845,0.0009132420091324,0.0006761325219743,0.0013623978201634,0.0002987750224081,0.0003057169061449,0.0003927729772191,0.0009107468123861,0.0006877579092159
44,黑龙江省,0.000421052631578947,0.000718390804597701,0.000307125307125307,0.000320307495195388,0.000266453503863576,0.000251509054325956,0.000249438762783737,0,0.000598444045481747,0.000473260766682442,0,0.000388802488335925,0.000337381916329285,0.00277777777777778,0.0004149377593361,0.0003474635163307,0.0014814814814814,0.0005213764337851,0.0003856536829926,0.0002988643156007,0.0005793742757821,0.0005277044854881,0.0003822629969418,0.0003624501631025,0.0002814522938361,0.0007251631617113,0.0001909854851031,0.0001937984496124,0.0002164502164502,0.000362056480811,0.0002834467120181
