row_id,MODEL,PARAMS_JSON,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
15,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",1.0,0.03,3,300,0.8,0.9791772520378987,0.01123177762177801,0.01417305522857532,2.611508276022097,0.4658983397415059,0.03040331400314454,0.03605600916484093,5.29821376502314,0.6986202622680111,0.02422321075576865,0.0300927592211888,4.46710361024756
16,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",0.8,0.05,5,500,0.8,0.9999121639529687,0.0007064677155213083,0.000920514956948922,0.1627024613965036,0.4637381924385454,0.03059465089225769,0.03612884894778699,5.316651007392494,0.7323553097653049,0.02272000791106686,0.02835856826515724,4.203357452412574
17,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",0.8,0.03,3,500,0.8,0.9883237278487532,0.008346613240625368,0.01061320523872333,1.933917715391769,0.4601184175845066,0.03068167589913645,0.03625057899637389,5.355813843033472,0.6927390555631994,0.0245267560416601,0.03038495975899443,4.518092556808132
18,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.8,0.03,3,300,0.8,0.9781963255236606,0.01145524348228918,0.0145030486221982,2.667562080665832,0.4558615410168148,0.03112906884350316,0.03639321328241391,5.424827346084843,0.6977953994588593,0.02436432568605484,0.03013391234722346,4.497881373981229
19,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",0.8,0.03,5,500,0.8,0.9992353173923119,0.002063319323856836,0.002716033138342168,0.4723752005025282,0.4377391866172726,0.03200999010679799,0.03699428174026625,5.552249473973674,0.7473329225483858,0.02250093219102839,0.02755366116395223,4.152525408258922
20,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",0.8,0.03,5,300,0.8,0.9968229529582245,0.004233616132092534,0.005536130015159064,0.9696889773532372,0.4290598495491003,0.03213223154231041,0.03727871931404715,5.568431759986942,0.7464585092392446,0.02246601071093159,0.02760129791813948,4.146772730543332
21,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",1.0,0.05,3,500,1.0,0.9947659475892813,0.00540880007137081,0.007105808378945314,1.242831772140781,0.4270923016517312,0.03079681798719591,0.03734289817986234,5.378429329331075,0.70795325517042,0.02333282791480198,0.02962314537861441,4.293967164965715
22,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",0.8,0.05,3,500,0.8,0.994987718281521,0.005430518906344845,0.006953639867901176,1.250388596601769,0.4193302285927555,0.03144230345907519,0.03759501829395397,5.510311360172706,0.6844964868106188,0.02450772143489058,0.03078981537368973,4.509229591735651
23,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",0.8,0.05,3,300,0.8,0.9879752249830261,0.008437026772645803,0.01077042740833194,1.954234112234102,0.4148559207456524,0.03201564675275741,0.03773958315715358,5.61084675415696,0.6810780610141061,0.02447270101867184,0.03095616714188114,4.511353521089687
24,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 0.8}",1.0,0.05,3,300,0.8,0.9884660180425322,0.008200790015954237,0.0105483393274179,1.904187172574944,0.4130863687438228,0.03184230291766505,0.03779660478994706,5.559938287671514,0.6835769451039941,0.02453984446021049,0.03083465151471548,4.522257972523891
25,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",1.0,0.05,3,500,0.8,0.9954617120565054,0.005105471256225339,0.006616685338131947,1.175453192254254,0.4097993616501283,0.03177823715975977,0.03790229687024346,5.550481471740728,0.6854802017683429,0.02469715218907018,0.0307417777976429,4.542391839867549
26,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",1.0,0.05,3,300,1.0,0.9875214718407398,0.00849122653409565,0.01097175597772436,1.977900192903759,0.4088170139309615,0.03165434002980878,0.03793382661819195,5.52422566418517,0.6964108202983319,0.02389312269819936,0.03020286415490405,4.409552304706552
27,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",1.0,0.03,3,500,1.0,0.9880762800579982,0.008365682521505333,0.01072507509516165,1.940571563767028,0.389970564978852,0.0319951603499997,0.03853373327831735,5.591589122918587,0.7045260743748314,0.0237691156755673,0.02979645284550955,4.392829315150037
28,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",1.0,0.03,3,300,1.0,0.9767527682186828,0.01180921356350494,0.01497545688290203,2.756507268038832,0.3771913726036584,0.03290748442477565,0.03893525303331079,5.735358854162782,0.6973440902712408,0.02446562473046907,0.03015640478752366,4.523142452008582
29,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",0.8,0.05,3,500,1.0,0.9945955185350991,0.005559108838942744,0.007220569858124417,1.275451571347463,0.3684809034081987,0.03256772509322629,0.03920657774492758,5.687604436268686,0.6811217123134354,0.0247108604994538,0.03095404856207558,4.551200865867452
30,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.8,0.05,3,300,1.0,0.9874144406303692,0.008587518075412911,0.01101870914980077,1.988086331542113,0.3492395185205178,0.03337329676852688,0.03979937731833082,5.820249490379253,0.6723861282150254,0.02523182357972668,0.03137517278008912,4.64383281930547
31,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 1.0}",0.8,0.03,3,500,1.0,0.9870650274392742,0.008743344550255805,0.01117061834849025,2.032499310333881,0.336130520079419,0.03414277726277998,0.04019824040022564,5.951181379708554,0.6829585787208984,0.02489510170493588,0.03086476595375902,4.593518681145096
32,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 300, ""subsample"": 1.0}",0.8,0.03,3,300,1.0,0.9767997532099889,0.01185574053221009,0.01496031577706322,2.75666770217896,0.3291901595651435,0.03442552676228554,0.040407818416891,5.981516263727562,0.6814338395767192,0.0252885578608359,0.03093889549543544,4.661619774140406
