row_id,地区,id,year,年末就业人数（万人）,固定资本存量,能源消耗总量(万吨标准煤),地区GDP（亿元）,工业废水（万吨）,工业二氧化硫（万吨）,一般工业固体废弃物（万吨）,id.1,year.1,规模报酬可变+全局,规模报酬可变+非全局,规模报酬不变+全局,规模报酬不变+非全局,id.2,year.2,规模报酬可变+全局.1,规模报酬可变+非全局.1,规模报酬不变+全局.1,规模报酬不变+非全局.1
42,安徽省,12,2012,4206.8,25357.4021813482,11358.0,17212.05,67175.0,46.9776,12022.0,12,2012,0.977302800570721,0.928782180393736,0.993174922787749,0.967097938190152,12,2012,0.977302800570721,0.928782180393736,0.993174922787749,0.967097938190152
43,福建省,13,2012,2202.0,33986.7646203904,11185.0,19701.78,106319.0,35.2389,7720.0,13,2012,0.99354437910919,1.09446047472912,1.014774746896,1.0315584181685,13,2012,0.99354437910919,1.09446047472912,1.014774746896,1.0315584181685
44,江西省,14,2012,2364.0,19634.5059897851,7233.0,12948.88,67871.0,55.1502,11134.0,14,2012,0.992924254328582,0.95991147478079,1.00852103015261,0.994354008116861,14,2012,0.992924254328582,0.95991147478079,1.00852103015261,0.994354008116861
45,山东省,15,2012,5892.0,85847.7134400747,38899.0,50013.24,183634.0,154.3766,18343.0,15,2012,1.05728316909875,1.10236988385298,1.008618313305,1.03574043872215,15,2012,1.05728316909875,1.10236988385298,1.008618313305,1.03574043872215
46,河南省,16,2012,5110.0,60747.8064124874,23647.0,29599.31,137356.0,112.9858,15250.0,16,2012,0.971700432390441,1.06359388814772,0.981879286642169,1.0127461253753,16,2012,0.971700432390441,1.06359388814772,0.981879286642169,1.0127461253753
47,湖北省,17,2012,3398.0,34857.6254622766,17675.0,22250.45,91609.0,54.8591,7611.0,17,2012,0.993277937431962,1.10840138308943,1.00942810552187,1.03851798319287,17,2012,0.993277937431962,1.10840138308943,1.00942810552187,1.03851798319287
48,湖南省,18,2012,4019.31,32051.8573728848,16744.0,22154.23,97133.0,59.3342,8116.0,18,2012,0.98491602165253,0.962981644708755,0.998231254404396,0.975785863006899,18,2012,0.98491602165253,0.962981644708755,0.998231254404396,0.975785863006899
49,广东省,19,2012,6171.0,75655.1281259945,29144.0,57067.92,186126.0,77.1467,5965.0,19,2012,0.327643172336087,1.0024853672392,0.978851348191458,0.921776940712293,19,2012,0.327643172336087,1.0024853672392,0.978851348191458,0.921776940712293
50,广西壮族自治区,20,2012,2768.0,29495.6407592402,9155.0,13035.1,110671.0,47.1621,7964.0,20,2012,0.965266813320252,0.994437576685555,0.97465460046395,1.00702123121543,20,2012,0.965266813320252,0.994437576685555,0.97465460046395,1.00702123121543
51,海南省,21,2012,475.9,4944.50160736154,1688.0,2855.54,7465.0,3.3036,386.0,21,2012,0.886059892617619,0.920528088914276,0.985057863386252,1.03007163348708,21,2012,0.886059892617619,0.920528088914276,0.985057863386252,1.03007163348708
52,重庆市,22,2012,1605.89,18638.8704845342,9278.0,11409.6,30611.0,50.9788,3115.0,22,2012,1.00297513790019,1.03739377501819,1.02724621007647,1.05880438901383,22,2012,1.00297513790019,1.03739377501819,1.02724621007647,1.05880438901383
53,四川省,23,2012,4635.0,35456.6408904692,20575.0,23872.8,69984.0,79.3965,13187.0,23,2012,1.00460015682329,1.0968406331514,1.01905610400811,1.02944061958432,23,2012,1.00460015682329,1.0968406331514,1.01905610400811,1.02944061958432
54,贵州省,24,2012,1825.82,11656.5199516082,9878.0,6852.2,23399.0,83.7101,7835.0,24,2012,0.986650038440748,1.02047129088222,1.03481389173261,1.05585534902884,24,2012,0.986650038440748,1.02047129088222,1.03481389173261,1.05585534902884
55,云南省,25,2012,2835.0,20307.8088572054,10434.0,10309.47,42811.0,62.2599,16038.0,25,2012,0.964930027732761,0.996326538138742,0.98416842002205,1.01334595939134,25,2012,0.964930027732761,0.996326538138742,0.98416842002205,1.01334595939134
56,陕西省,26,2012,2091.0,25444.3854878662,10626.0,14453.68,38037.0,74.7018,7215.0,26,2012,0.992349400656126,1.02604562667753,1.01715342191632,1.04785444825256,26,2012,0.992349400656126,1.02604562667753,1.01715342191632,1.04785444825256
57,甘肃省,27,2012,1358.0,9413.36256783027,7007.0,5650.2,19188.0,47.9938,6671.0,27,2012,0.978983160527808,0.997792887589317,0.998297125814925,1.01893859762597,27,2012,0.978983160527808,0.997792887589317,0.998297125814925,1.01893859762597
58,青海省,28,2012,310.89,4504.76772052772,3524.0,1893.54,8917.0,12.9094,12301.0,28,2012,0.857834059973907,0.949831976824216,0.963472429899138,0.99418862176767,28,2012,0.857834059973907,0.949831976824216,0.963472429899138,0.99418862176767
59,宁夏回族自治区,29,2012,344.0,5631.25954427712,4562.0,2341.29,16548.0,38.4378,2961.0,29,2012,0.983027355076624,0.997933993480373,0.996503795423896,1.02494009195509,29,2012,0.983027355076624,0.997933993480373,0.996503795423896,1.02494009195509
60,新疆维吾尔自治区,30,2012,1246.0,14311.665170111,11831.0,7505.31,29738.0,70.471,7880.0,30,2012,0.947768221907946,0.967873898183226,0.975476909112396,0.990069078857072,30,2012,0.947768221907946,0.967873898183226,0.975476909112396,0.990069078857072
61,北京市,1,2013,1141.0,30184.1489906487,6724.0,19800.81,9486.0,5.2041,1044.0,1,2013,1.03334220918868,1.03212172552768,1.07115056873374,1.12273157295081,1,2013,1.02273640265153,1.04067394400301,1.10242403586783,1.13711352824653
