row_id,证券代码,证券简称,统计截止日期,年份,营业收入（亿元）,所属省份,Unnamed: 8
130,601798.0,蓝科高新,2011-12-31,2011.0,746647554.13,甘肃省,
131,,,,,34368890275.85,甘肃省 汇总,
132,12.0,南玻A,2011-12-31,2011.0,8270731730.0,广东省,
133,16.0,深康佳A,2011-12-31,2011.0,16217619883.23,广东省,
134,20.0,深华发A,2011-12-31,2011.0,875778275.09,广东省,
135,21.0,长城开发,2011-12-31,2011.0,18630380585.04,广东省,
136,23.0,深天地A,2011-12-31,2011.0,800148296.51,广东省,
137,27.0,深圳能源,2011-12-31,2011.0,14387018543.15,广东省,
138,37.0,深南电A,2011-12-31,2011.0,2415817730.35,广东省,
139,40.0,宝安地产,2011-12-31,2011.0,817369601.45,广东省,
140,45.0,深纺织A,2011-12-31,2011.0,712893557.26,广东省,
141,49.0,德赛电池,2011-12-31,2011.0,2246320151.62,广东省,
142,50.0,深天马A,2011-12-31,2011.0,4614967219.0,广东省,
143,60.0,中金岭南,2011-12-31,2011.0,18634032297.78,广东省,
144,63.0,中兴通讯,2011-12-31,2011.0,86254456000.0,广东省,
145,66.0,长城电脑,2011-12-31,2011.0,76467965366.0,广东省,
146,70.0,特发信息,2011-12-31,2011.0,1246862977.91,广东省,
147,100.0,TCL集团,2011-12-31,2011.0,60751550000.0,广东省,
148,513.0,丽珠集团,2011-12-31,2011.0,3162915294.5,广东省,
149,522.0,白云山A,2011-12-31,2011.0,3799133087.54,广东省,
150,527.0,美的电器,2011-12-31,2011.0,93108058260.0,广东省,
151,531.0,穗恒运A,2011-12-31,2011.0,3334672348.63,广东省,
152,533.0,万家乐,2011-12-31,2011.0,2022522310.67,广东省,
153,534.0,万泽股份,2011-12-31,2011.0,199209139.22,广东省,
154,539.0,粤电力A,2011-12-31,2011.0,14620140721.0,广东省,
155,541.0,佛山照明,2011-12-31,2011.0,2260929873.55,广东省,
156,576.0,ST 甘化,2011-12-31,2011.0,387382732.08,广东省,
157,601.0,韶能股份,2011-12-31,2011.0,2109606680.85,广东省,
158,602.0,*ST 金马,2011-12-31,2011.0,5082173210.01,广东省,
159,636.0,风华高科,2011-12-31,2011.0,2081893700.76,广东省,
160,651.0,格力电器,2011-12-31,2011.0,83155474504.59,广东省,
161,685.0,中山公用,2011-12-31,2011.0,794755253.8,广东省,
162,690.0,宝新能源,2011-12-31,2011.0,3515157953.58,广东省,
163,782.0,美达股份,2011-12-31,2011.0,4585611816.4,广东省,
164,823.0,超声电子,2011-12-31,2011.0,3293112968.13,广东省,
165,921.0,ST 科龙,2011-12-31,2011.0,18488663163.12,广东省,
166,999.0,华润三九,2011-12-31,2011.0,5525222936.3,广东省,
167,2005.0,德豪润达,2011-12-31,2011.0,3065480708.7,广东省,
168,2008.0,大族激光,2011-12-31,2011.0,3627965363.76,广东省,
169,2017.0,东信和平,2011-12-31,2011.0,933865061.55,广东省,
170,2030.0,达安基因,2011-12-31,2011.0,457560392.71,广东省,
171,2031.0,巨轮股份,2011-12-31,2011.0,722942002.21,广东省,
172,2035.0,华帝股份,2011-12-31,2011.0,2038683990.84,广东省,
173,2045.0,广州国光,2011-12-31,2011.0,2154386408.0,广东省,
174,2052.0,同洲电子,2011-12-31,2011.0,2014387137.88,广东省,
175,2055.0,得润电子,2011-12-31,2011.0,1509846148.37,广东省,
176,2076.0,雪莱特,2011-12-31,2011.0,474738075.87,广东省,
177,2106.0,莱宝高科,2011-12-31,2011.0,1236554632.81,广东省,
178,2121.0,科陆电子,2011-12-31,2011.0,1121783606.22,广东省,
179,2130.0,沃尔核材,2011-12-31,2011.0,648029298.95,广东省,
180,2137.0,实益达,2011-12-31,2011.0,1724022511.55,广东省,
181,2138.0,顺络电子,2011-12-31,2011.0,550434646.48,广东省,
182,2139.0,拓邦股份,2011-12-31,2011.0,970984233.19,广东省,
183,2141.0,蓉胜超微,2011-12-31,2011.0,1122015649.82,广东省,
184,2152.0,广电运通,2011-12-31,2011.0,2089467431.67,广东省,
185,2161.0,远望谷,2011-12-31,2011.0,320677836.21,广东省,
186,2167.0,东方锆业,2011-12-31,2011.0,549534221.25,广东省,
187,2169.0,智光电气,2011-12-31,2011.0,513990067.17,广东省,
188,2177.0,御银股份,2011-12-31,2011.0,741457812.06,广东省,
189,2180.0,万力达,2011-12-31,2011.0,158088424.32,广东省,
190,2198.0,嘉应制药,2011-12-31,2011.0,85913205.95,广东省,
191,2209.0,达意隆,2011-12-31,2011.0,677440111.16,广东省,
192,2218.0,拓日新能,2011-12-31,2011.0,478086568.66,广东省,
193,2227.0,奥特迅,2011-12-31,2011.0,173973567.02,广东省,
194,2233.0,塔牌集团,2011-12-31,2011.0,4136736258.99,广东省,
195,2240.0,威华股份,2011-12-31,2011.0,1896900269.13,广东省,
196,2249.0,大洋电机,2011-12-31,2011.0,2359348319.23,广东省,
197,2256.0,彩虹精化,2011-12-31,2011.0,419433022.16,广东省,
198,2260.0,伊立浦,2011-12-31,2011.0,743443979.74,广东省,
199,2288.0,超华科技,2011-12-31,2011.0,417146552.82,广东省,
200,2289.0,宇顺电子,2011-12-31,2011.0,849204551.09,广东省,
201,2294.0,信立泰,2011-12-31,2011.0,1474884526.25,广东省,
202,2295.0,精艺股份,2011-12-31,2011.0,2549312346.8,广东省,
203,2308.0,威创股份,2011-12-31,2011.0,909991943.76,广东省,
204,2313.0,日海通讯,2011-12-31,2011.0,1333112131.14,广东省,
205,2317.0,众生药业,2011-12-31,2011.0,750643827.59,广东省,
206,2334.0,英威腾,2011-12-31,2011.0,689808328.52,广东省,
207,2351.0,漫步者,2011-12-31,2011.0,830587303.35,广东省,
208,2369.0,卓翼科技,2011-12-31,2011.0,1237597176.77,广东省,
209,2387.0,黑牛食品,2011-12-31,2011.0,857204906.2,广东省,
210,2388.0,新亚制程,2011-12-31,2011.0,569444885.34,广东省,
211,2399.0,海普瑞,2011-12-31,2011.0,2494581271.92,广东省,
212,2402.0,和而泰,2011-12-31,2011.0,500678638.74,广东省,
213,2429.0,兆驰股份,2011-12-31,2011.0,4473464458.16,广东省,
214,2433.0,太安堂,2011-12-31,2011.0,417367363.6,广东省,
215,2436.0,兴森科技,2011-12-31,2011.0,957890730.76,广东省,
216,2446.0,盛路通信,2011-12-31,2011.0,389437196.93,广东省,
217,2449.0,国星光电,2011-12-31,2011.0,1075638871.56,广东省,
218,2456.0,欧菲光,2011-12-31,2011.0,1245198774.6,广东省,
219,2465.0,海格通信,2011-12-31,2011.0,999597698.02,广东省,
220,2475.0,立讯精密,2011-12-31,2011.0,2555567715.02,广东省,
221,2512.0,达华智能,2011-12-31,2011.0,311126531.01,广东省,
222,2518.0,科士达,2011-12-31,2011.0,937491018.21,广东省,
223,2528.0,英飞拓,2011-12-31,2011.0,354913551.01,广东省,
224,2543.0,万和电气,2011-12-31,2011.0,2629765090.63,广东省,
225,2551.0,尚荣医疗,2011-12-31,2011.0,348427757.95,广东省,
226,2577.0,雷柏科技,2011-12-31,2011.0,564549476.71,广东省,
227,2579.0,中京电子,2011-12-31,2011.0,408469683.55,广东省,
228,2583.0,海能达,2011-12-31,2011.0,1243451534.72,广东省,
229,2587.0,奥拓电子,2011-12-31,2011.0,230168248.09,广东省,
230,2600.0,江粉磁材,2011-12-31,2011.0,895970399.83,广东省,
231,2611.0,东方精工,2011-12-31,2011.0,361220699.85,广东省,
232,2618.0,丹邦科技,2011-12-31,2011.0,269103155.09,广东省,
233,2638.0,勤上光电,2011-12-31,2011.0,769304207.24,广东省,
234,300004.0,南风股份,2011-12-31,2011.0,448655611.47,广东省,
235,300014.0,亿纬锂能,2011-12-31,2011.0,477212855.95,广东省,
236,300030.0,阳普医疗,2011-12-31,2011.0,249639335.34,广东省,
237,300042.0,朗科科技,2011-12-31,2011.0,233592397.16,广东省,
238,300053.0,欧比特,2011-12-31,2011.0,178087062.31,广东省,
239,300057.0,万顺股份,2011-12-31,2011.0,630491802.79,广东省,
240,300077.0,国民技术,2011-12-31,2011.0,571376200.87,广东省,
241,300083.0,劲胜股份,2011-12-31,2011.0,1341674441.09,广东省,
242,300089.0,长城集团,2011-12-31,2011.0,407928670.0,广东省,
243,300093.0,金刚玻璃,2011-12-31,2011.0,348751114.18,广东省,
244,300112.0,万讯自控,2011-12-31,2011.0,188241367.22,广东省,
245,300115.0,长盈精密,2011-12-31,2011.0,783168738.13,广东省,
246,300124.0,汇川技术,2011-12-31,2011.0,1054026834.36,广东省,
247,300130.0,新国都,2011-12-31,2011.0,341596897.96,广东省,
248,300134.0,大富科技,2011-12-31,2011.0,989501862.46,广东省,
249,300136.0,信维通信,2011-12-31,2011.0,162976630.43,广东省,
