row_id,MODEL,PARAMS_JSON,model__activation,model__alpha,model__n_hidden,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
16,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 1.0, ""model__n_hidden"": 50}",relu,1.0,50,0.8416672195248606,0.0306398677231659,0.0390822787038193,7.060499720747959,-2.121879953385159,0.07267793003260581,0.08717135383667761,12.60474477298285,-1.70694679732299,0.06173449695996565,0.09018718779880108,10.95589836688553
17,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 0.1, ""model__n_hidden"": 50}",relu,0.1,50,0.842506779359967,0.03036514012776004,0.03897852405688918,7.011921054418621,-2.34199240350601,0.07636605149574201,0.09019208373080159,13.27672385452352,-1.783232306510181,0.06301039496803652,0.09144915847079557,11.1898754015141
18,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 0.01, ""model__n_hidden"": 50}",relu,0.01,50,0.8425182671551195,0.03034413849764487,0.03897710245453838,7.008609474133618,-2.370772148403466,0.07680548730130746,0.0905795982010212,13.35689523091068,-1.792969770247964,0.06316222735128044,0.09160899158233096,11.21756238941904
19,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 1.0, ""model__n_hidden"": 200}",relu,1.0,200,0.9729695403470563,0.01247458424314923,0.01614809046269442,2.923672396312054,-3.345372855880167,0.0763377646911127,0.1028440604676396,13.25464043239262,-0.7874599067319994,0.05425616654889589,0.07328635796725841,9.903694832879308
20,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 0.01, ""model__n_hidden"": 200}",tanh,0.01,200,0.9764605996171059,0.01214475714346146,0.01506926798260034,2.839246760740412,-4.17904424452859,0.0892213843775763,0.1122769229947645,15.36836425146703,-0.7661464712943729,0.05433184971513223,0.07284811925638628,9.859368547064385
21,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 0.1, ""model__n_hidden"": 200}",tanh,0.1,200,0.9757337374091647,0.01221363398176485,0.01530015761252575,2.866590366625659,-4.333243915053634,0.0912131337338287,0.1139361170859841,15.71377817450995,-0.6565069557158079,0.05181321650495366,0.07055074706399052,9.330912753076106
22,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 1.0, ""model__n_hidden"": 200}",tanh,1.0,200,0.9671362226264455,0.01377218876075582,0.0178054600052914,3.268868598205251,-5.145086879948445,0.1008373011544984,0.1223009146922124,17.5754126685598,-0.6377011476973764,0.05274246198832593,0.07014913362311712,9.575439565491287
23,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 0.1, ""model__n_hidden"": 200}",relu,0.1,200,0.9790663841589352,0.01107656077209769,0.01421073638700001,2.600745848918189,-7.484818250290132,0.1084176312832081,0.1437099914085977,18.90836625321274,-1.983867347095043,0.06576493129041062,0.09468795583603183,12.07466099001564
24,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 1.0, ""model__n_hidden"": 100}",tanh,1.0,100,0.8632183714271184,0.0286715039310786,0.03632522753897782,6.587223743790259,-8.881553182693844,0.1310446366987485,0.1550880365153752,23.22202002101205,-2.90908826448032,0.08597967759012316,0.1083783970211624,15.8353520191626
25,ELM,"{""model__activation"": ""relu"", ""model__alpha"": 0.01, ""model__n_hidden"": 200}",relu,0.01,200,0.9795177647422051,0.01100999903467496,0.01405669213875973,2.586590899254319,-9.007139986232739,0.1181432338793464,0.1560704487020018,20.6216826387335,-2.398051576927824,0.06971241792063959,0.1010461958940967,12.7700862994491
26,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 0.1, ""model__n_hidden"": 100}",tanh,0.1,100,0.8686751925365369,0.02826904364028246,0.03559326635812749,6.501966864011774,-10.66194193301083,0.1396453750497113,0.1684810765167437,24.77174103936053,-3.653189137382728,0.09452541674954483,0.118244333521921,17.39508873703829
27,ELM,"{""model__activation"": ""tanh"", ""model__alpha"": 0.01, ""model__n_hidden"": 100}",tanh,0.01,100,0.8687955695859843,0.02831875322812141,0.0355769495830454,6.515809382264348,-10.94086207321461,0.1412209265593768,0.1704839630653025,25.06157456546393,-3.776602114367297,0.09586592736625572,0.119802124109146,17.64215699410963
