row_id,year,id,GDP（亿元）,第一产业增加值（亿元）,第二产业增加值（亿元）,第三产业增加值（亿元）,第一产业占比,第二产业占比,第三产业占比,自2014年开始统计年鉴采用 一二三产业增加值
167,2006,安徽,6148.73,1028.66,2648.13,2471.94,0.167296335991335,0.430679180904024,0.402024483104641,
168,2006,福建,7614.55,896.17,3743.71,2974.67,0.117691787433269,0.491652165919194,0.390656046647537,
169,2006,江西,4670.53,786.14,2320.74,1563.65,0.168319227154092,0.496890074573978,0.334790698271931,
170,2006,山东,22077.36,2138.9,12751.2,7187.26,0.0968820547384289,0.577569057169879,0.325548888091692,
171,2006,河南,12495.97,2049.92,6724.61,3721.44,0.164046488587921,0.538142297076577,0.297811214335502,
172,2006,湖北,7581.32,1140.41,3365.08,3075.83,0.150423672922393,0.443864656814381,0.405711670263226,
173,2006,湖南,7568.89,1332.23,3151.7,3084.96,0.176013920138884,0.416401876629202,0.407584203231914,
174,2006,广东,26204.47,1577.12,13431.82,11195.53,0.0601851516172622,0.512577434307963,0.427237414074774,
175,2006,广西,4828.51,1032.47,1878.56,1917.47,0.213827868224359,0.389055837100886,0.39711422364249,
176,2006,海南,1052.85,344.48,287.86,420.51,0.327188108467493,0.273410267369521,0.399401624162986,
177,2006,重庆,3491.57,425.81,1500.97,1564.79,0.121953734279994,0.429883977694848,0.448162288025158,
178,2006,四川,8637.81,1595.48,3775.19,3267.14,0.18470885560113,0.43705406810291,0.378237076295959,
179,2006,贵州,2282.0,393.17,980.78,908.05,0.172291849255039,0.429789658194566,0.397918492550394,
180,2006,云南,4006.72,749.81,1712.6,1544.31,0.187138107978596,0.427431914383835,0.385429977637569,
181,2006,西藏,291.01,50.9,80.1,160.01,0.17490807876018,0.275248273255215,0.549843647984605,
182,2006,陕西,4523.74,488.48,2440.5,1594.76,0.107981448978058,0.539487238435454,0.352531312586488,
183,2006,甘肃,2276.7,333.35,1043.19,900.16,0.146418061228972,0.458202661747266,0.395379277023762,
184,2006,青海,641.58,69.64,331.16,240.78,0.108544530689859,0.516163222045575,0.375292247264566,
185,2006,宁夏,710.76,79.54,349.83,281.39,0.111908379762508,0.492191457031909,0.395900163205583,
186,2006,新疆,3045.26,527.8,1459.3,1058.16,0.173318534378017,0.479203746149754,0.347477719472229,
187,2007,北京,9353.32,101.26,2509.4,6742.66,0.010826102389312,0.268289762351764,0.720884135258924,
188,2007,天津,5050.4,110.19,2892.53,2047.68,0.0218180738159354,0.572732852843339,0.405449073340726,
189,2007,河北,13709.5,1804.72,7241.8,4662.98,0.131640103577811,0.528232247711441,0.340127648710748,
190,2007,山西,5733.35,269.68,3438.58,2025.09,0.0470370725666495,0.599750582120401,0.35321234531295,
191,2007,内蒙古,6091.12,762.1,3154.56,2174.46,0.125116563127963,0.517894902743666,0.356988534128371,
192,2007,辽宁,11023.49,1133.4,5853.1,4036.99,0.102816803026991,0.530966145930191,0.366217051042819,
193,2007,吉林,5284.69,783.8,2475.45,2025.44,0.148315227572478,0.468419150413742,0.383265622013779,
194,2007,黑龙江,7065.0,915.38,3695.58,2454.04,0.129565463552725,0.523082802547771,0.347351733899505,
195,2007,上海,12188.85,101.84,5678.51,6408.5,0.00835517706756585,0.465877420757496,0.525767402174939,
196,2007,江苏,25741.15,1816.24,14306.4,9618.52,0.0705578422098469,0.555779364946787,0.373663181326398,
197,2007,浙江,18780.44,986.02,10148.45,7645.96,0.052502497279084,0.540373388482911,0.407123581769117,
198,2007,安徽,7364.18,1200.18,3289.12,2874.88,0.162975375398211,0.446637643294976,0.390386981306812,
199,2007,福建,9249.13,1002.11,4549.42,3697.6,0.108346406635002,0.491875452069546,0.399778141295452,
200,2007,江西,5500.25,905.77,2840.92,1753.56,0.164677969183219,0.516507431480387,0.318814599336394,
201,2007,山东,25965.91,2509.14,14776.53,8680.24,0.0966320841441721,0.569074220776395,0.334293695079433,
202,2007,河南,15012.46,2217.66,8282.83,4511.97,0.147721292846076,0.551730362645429,0.300548344508495,
203,2007,湖北,9230.68,1378.0,3966.68,3886.0,0.149284776419505,0.429727820702267,0.420987402878228,
204,2007,湖南,9200.0,1626.52,3916.44,3657.04,0.176795652173913,0.4257,0.397504347826087,
205,2007,广东,31084.4,1695.57,15939.1,13449.73,0.0545472970364556,0.512768462637207,0.432684240326337,
206,2007,广西,5955.65,1241.35,2425.29,2289.0,0.208432328964932,0.407225071990463,0.384340919966754,
207,2007,海南,1223.28,361.07,364.26,497.95,0.295165456804656,0.297773199921522,0.407061343273821,
208,2007,重庆,4122.51,482.39,1892.1,1748.02,0.117013664005666,0.458967958840609,0.424018377153724,
209,2007,四川,10505.3,2032.0,4641.3,3832.0,0.193426175359104,0.441805564810143,0.364768259830752,
210,2007,贵州,2741.9,446.38,1148.27,1147.25,0.162799518582005,0.418786243116087,0.418414238301907,
211,2007,云南,4741.31,837.35,2051.08,1852.88,0.17660730895048,0.432597741974264,0.390794949075256,
212,2007,西藏,342.19,54.89,98.48,188.82,0.160407960489786,0.287793331190274,0.551798708319939,
213,2007,陕西,5465.79,592.63,2964.56,1908.6,0.108425314547394,0.542384540935528,0.349190144517078,
214,2007,甘肃,2702.4,385.97,1279.32,1037.11,0.142824896388396,0.473401420959147,0.383773682652457,
215,2007,青海,783.61,83.41,417.78,282.42,0.106443256211636,0.533147866923597,0.360408876864767,
216,2007,宁夏,889.2,97.89,451.82,339.49,0.110087719298246,0.508119658119658,0.381792622582096,
217,2007,新疆,3523.16,628.72,1647.55,1246.89,0.178453433849158,0.467634169325265,0.353912396825577,
218,2008,北京,10488.03,112.81,2693.15,7682.07,0.0107560714452571,0.256783209048792,0.732460719505951,
219,2008,天津,6354.38,122.58,3821.07,2410.73,0.0192906310293058,0.601328532445337,0.379380836525357,
220,2008,河北,16188.61,2034.6,8777.42,5376.59,0.125680957166798,0.542197260913692,0.33212178191951,
221,2008,山西,6938.73,302.48,4265.77,2370.48,0.0435929918010933,0.614776767506446,0.341630240692461,
222,2008,内蒙古,7761.8,906.98,4271.03,2583.79,0.116851761189415,0.550262825633229,0.332885413177356,
223,2008,辽宁,13461.57,1302.0,7512.11,4647.46,0.096719773399388,0.558041149732163,0.345239076868449,
224,2008,吉林,6424.06,916.7,3064.63,2442.73,0.142697920006974,0.477055008826194,0.380247071166832,
225,2008,黑龙江,8310.0,1089.1,4365.9,2855.0,0.131058965102286,0.525379061371841,0.343561973525872,
226,2008,上海,13698.15,111.8,6235.92,7350.43,0.00816168606709665,0.455238116095969,0.536600197836934,
227,2008,江苏,30312.61,2100.0,16663.81,11548.8,0.0692780991145269,0.549731943240783,0.38098995764469,
228,2008,浙江,21486.92,1095.43,11580.33,8811.17,0.0509812481267674,0.538947880850303,0.410071336422344,
