row_id,province,year,地方财政一般预算收入(亿元)
249,内蒙古自治区,2020年,2051.2
250,内蒙古自治区,2021年,2349.95
251,内蒙古自治区,2022年,2824.39
252,内蒙古自治区,2023年,3083.64
253,宁夏回族自治区,2010年,153.55
254,宁夏回族自治区,2011年,219.98
255,宁夏回族自治区,2012年,263.96
256,宁夏回族自治区,2013年,308.34
257,宁夏回族自治区,2014年,339.86
258,宁夏回族自治区,2015年,373.4
259,宁夏回族自治区,2016年,387.66
260,宁夏回族自治区,2017年,417.59
261,宁夏回族自治区,2018年,436.52
262,宁夏回族自治区,2019年,423.58
263,宁夏回族自治区,2020年,419.44
264,宁夏回族自治区,2021年,460.01
265,宁夏回族自治区,2022年,460.15
266,宁夏回族自治区,2023年,502.31
267,青海省,2010年,110.22
268,青海省,2011年,151.81
269,青海省,2012年,186.42
270,青海省,2013年,223.86
271,青海省,2014年,251.68
272,青海省,2015年,267.13
273,青海省,2016年,238.51
274,青海省,2017年,246.2
275,青海省,2018年,272.89
276,青海省,2019年,282.25
277,青海省,2020年,297.99
278,青海省,2021年,328.76
279,青海省,2022年,329.1
280,青海省,2023年,381.34
281,山东省,2010年,2749.38
282,山东省,2011年,3455.93
283,山东省,2012年,4059.43
284,山东省,2013年,4559.95
285,山东省,2014年,5026.83
286,山东省,2015年,5529.33
287,山东省,2016年,5860.18
288,山东省,2017年,6098.63
289,山东省,2018年,6485.4
290,山东省,2019年,6526.71
291,山东省,2020年,6559.93
292,山东省,2021年,7284.46
293,山东省,2022年,7104.1
294,山东省,2023年,7464.78
295,山西省,2010年,969.67
296,山西省,2011年,1213.43
297,山西省,2012年,1516.38
298,山西省,2013年,1701.62
299,山西省,2014年,1820.64
300,山西省,2015年,1642.35
301,山西省,2016年,1557.0
302,山西省,2017年,1867.0
303,山西省,2018年,2292.7
304,山西省,2019年,2347.75
305,山西省,2020年,2296.57
306,山西省,2021年,2834.47
307,山西省,2022年,3453.99
308,山西省,2023年,3479.37
309,陕西省,2010年,958.21
310,陕西省,2011年,1500.18
311,陕西省,2012年,1600.69
312,陕西省,2013年,1748.33
313,陕西省,2014年,1890.4
314,陕西省,2015年,2059.95
315,陕西省,2016年,1833.99
316,陕西省,2017年,2006.69
317,陕西省,2018年,2243.14
318,陕西省,2019年,2287.9
319,陕西省,2020年,2257.31
320,陕西省,2021年,2775.42
321,陕西省,2022年,3311.57
322,陕西省,2023年,3437.6
323,上海市,2010年,2873.58
324,上海市,2011年,3429.83
325,上海市,2012年,3743.71
326,上海市,2013年,4109.51
327,上海市,2014年,4585.55
328,上海市,2015年,5519.5
329,上海市,2016年,6406.13
330,上海市,2017年,6642.26
331,上海市,2018年,7108.15
332,上海市,2019年,7165.1
333,上海市,2020年,7046.3
334,上海市,2021年,7771.8
335,上海市,2022年,7608.0
336,上海市,2023年,8312.5
337,四川省,2010年,1561.67
338,四川省,2011年,2044.79
339,四川省,2012年,2421.27
340,四川省,2013年,2784.1
341,四川省,2014年,3061.07
342,四川省,2015年,3355.44
343,四川省,2016年,3388.85
344,四川省,2017年,3577.99
345,四川省,2018年,3911.01
346,四川省,2019年,4070.83
