row_id,year,region,resilience,weight_method,gi_star_z,p_value,gi_bin,class_95
130,2008,四川,0.29181,Queen Contiguity,-2.411876,0.015871,-2,Cold Spot
131,2008,天津,0.475049,Queen Contiguity,2.683062,0.007295,3,Hot Spot
132,2008,宁夏,0.348018,Queen Contiguity,-0.66264,0.507561,0,Not Significant
133,2008,安徽,0.363299,Queen Contiguity,0.995646,0.319422,0,Not Significant
134,2008,山东,0.444896,Queen Contiguity,1.00297,0.315875,0,Not Significant
135,2008,山西,0.417941,Queen Contiguity,0.120746,0.903892,0,Not Significant
136,2008,广东,0.456763,Queen Contiguity,-0.651984,0.514411,0,Not Significant
137,2008,广西,0.272804,Queen Contiguity,-1.851733,0.064064,-1,Not Significant
138,2008,新疆,0.354718,Queen Contiguity,-1.548491,0.121504,0,Not Significant
139,2008,江苏,0.515005,Queen Contiguity,2.468967,0.01355,2,Hot Spot
140,2008,江西,0.343718,Queen Contiguity,0.399954,0.68919,0,Not Significant
141,2008,河北,0.415089,Queen Contiguity,2.215449,0.026729,2,Hot Spot
142,2008,河南,0.330158,Queen Contiguity,0.229506,0.818476,0,Not Significant
143,2008,浙江,0.492655,Queen Contiguity,1.835009,0.066504,1,Not Significant
144,2008,海南,0.332967,Queen Contiguity,-1.403501,0.160467,0,Not Significant
145,2008,湖北,0.361015,Queen Contiguity,-0.897448,0.36948,0,Not Significant
146,2008,湖南,0.321949,Queen Contiguity,-1.398294,0.162025,0,Not Significant
147,2008,甘肃,0.314714,Queen Contiguity,-1.227399,0.219673,0,Not Significant
148,2008,福建,0.399243,Queen Contiguity,1.129646,0.258625,0,Not Significant
149,2008,西藏,0.254929,Queen Contiguity,-1.88294,0.059708,-1,Not Significant
150,2008,贵州,0.243802,Queen Contiguity,-2.401399,0.016332,-2,Cold Spot
151,2008,辽宁,0.403663,Queen Contiguity,0.341463,0.732755,0,Not Significant
152,2008,重庆,0.400176,Queen Contiguity,-1.630672,0.10296,0,Not Significant
153,2008,陕西,0.374167,Queen Contiguity,-0.98527,0.324492,0,Not Significant
154,2008,青海,0.363917,Queen Contiguity,-1.947031,0.051531,-1,Not Significant
155,2008,黑龙江,0.318826,Queen Contiguity,-0.51041,0.609764,0,Not Significant
156,2008,上海,0.495281,4-Nearest Neighbors,2.468967,0.01355,2,Hot Spot
157,2008,云南,0.325324,4-Nearest Neighbors,-2.22594,0.026018,-2,Cold Spot
158,2008,内蒙古,0.385044,4-Nearest Neighbors,2.410578,0.015927,2,Hot Spot
159,2008,北京,0.608347,4-Nearest Neighbors,2.772123,0.005569,3,Hot Spot
160,2008,吉林,0.369655,4-Nearest Neighbors,1.64988,0.098967,1,Not Significant
161,2008,四川,0.29181,4-Nearest Neighbors,-1.613642,0.106605,0,Not Significant
162,2008,天津,0.475049,4-Nearest Neighbors,2.772123,0.005569,3,Hot Spot
163,2008,宁夏,0.348018,4-Nearest Neighbors,-0.709244,0.478173,0,Not Significant
164,2008,安徽,0.363299,4-Nearest Neighbors,1.775876,0.075753,1,Not Significant
165,2008,山东,0.444896,4-Nearest Neighbors,3.358451,0.000784,3,Hot Spot
166,2008,山西,0.417941,4-Nearest Neighbors,1.46964,0.141659,0,Not Significant
167,2008,广东,0.456763,4-Nearest Neighbors,-0.651984,0.514411,0,Not Significant
168,2008,广西,0.272804,4-Nearest Neighbors,-1.655891,0.097744,-1,Not Significant
169,2008,新疆,0.354718,4-Nearest Neighbors,-1.607499,0.107945,0,Not Significant
170,2008,江苏,0.515005,4-Nearest Neighbors,2.468967,0.01355,2,Hot Spot
171,2008,江西,0.343718,4-Nearest Neighbors,0.111474,0.91124,0,Not Significant
172,2008,河北,0.415089,4-Nearest Neighbors,2.772123,0.005569,3,Hot Spot
173,2008,河南,0.330158,4-Nearest Neighbors,-0.337249,0.735929,0,Not Significant
174,2008,浙江,0.492655,4-Nearest Neighbors,2.193194,0.028293,2,Hot Spot
175,2008,海南,0.332967,4-Nearest Neighbors,-1.655891,0.097744,-1,Not Significant
176,2008,湖北,0.361015,4-Nearest Neighbors,-0.759991,0.44726,0,Not Significant
177,2008,湖南,0.321949,4-Nearest Neighbors,-1.399919,0.161538,0,Not Significant
178,2008,甘肃,0.314714,4-Nearest Neighbors,-1.26723,0.205073,0,Not Significant
179,2008,福建,0.399243,4-Nearest Neighbors,0.676056,0.499005,0,Not Significant
180,2008,西藏,0.254929,4-Nearest Neighbors,-1.947031,0.051531,-1,Not Significant
181,2008,贵州,0.243802,4-Nearest Neighbors,-2.043881,0.040965,-2,Cold Spot
182,2008,辽宁,0.403663,4-Nearest Neighbors,2.23137,0.025657,2,Hot Spot
183,2008,重庆,0.400176,4-Nearest Neighbors,-1.713476,0.086625,-1,Not Significant
184,2008,陕西,0.374167,4-Nearest Neighbors,-0.429556,0.667519,0,Not Significant
185,2008,青海,0.363917,4-Nearest Neighbors,-1.987504,0.046867,-2,Cold Spot
186,2008,黑龙江,0.318826,4-Nearest Neighbors,1.106192,0.268643,0,Not Significant
187,2009,上海,0.499526,Fixed Distance Band,1.709918,0.087281,1,Not Significant
188,2009,云南,0.329405,Fixed Distance Band,-2.204826,0.027466,-2,Cold Spot
189,2009,内蒙古,0.398484,Fixed Distance Band,1.836983,0.066212,1,Not Significant
190,2009,北京,0.641868,Fixed Distance Band,1.91317,0.055726,1,Not Significant
191,2009,吉林,0.366573,Fixed Distance Band,1.712381,0.086827,1,Not Significant
192,2009,四川,0.321027,Fixed Distance Band,-2.806125,0.005014,-3,Cold Spot
193,2009,天津,0.469221,Fixed Distance Band,2.320044,0.020339,2,Hot Spot
194,2009,宁夏,0.378931,Fixed Distance Band,0.650458,0.515396,0,Not Significant
195,2009,安徽,0.357104,Fixed Distance Band,3.137241,0.001705,3,Hot Spot
196,2009,山东,0.465555,Fixed Distance Band,2.632188,0.008484,3,Hot Spot
197,2009,山西,0.405067,Fixed Distance Band,1.546958,0.121873,0,Not Significant
198,2009,广东,0.493153,Fixed Distance Band,-0.547044,0.584348,0,Not Significant
199,2009,广西,0.323496,Fixed Distance Band,-1.525895,0.127036,0,Not Significant
200,2009,新疆,0.368908,Fixed Distance Band,-1.235476,0.216654,0,Not Significant
201,2009,江苏,0.535519,Fixed Distance Band,2.795531,0.005181,3,Hot Spot
202,2009,江西,0.358475,Fixed Distance Band,0.546885,0.584458,0,Not Significant
203,2009,河北,0.432254,Fixed Distance Band,2.320044,0.020339,2,Hot Spot
204,2009,河南,0.335311,Fixed Distance Band,1.691575,0.090727,1,Not Significant
205,2009,浙江,0.501818,Fixed Distance Band,1.685922,0.091811,1,Not Significant
