row_id,admincode,region,zone,year,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
860,540000,西藏,西部,2009,22.2972972972973,105.481265425174,0.572182162380618,12.9836428221981,13584391.8918919,5.09311195871663,1.8957345971564,20.2702702702703,5807,7.09378257077829
861,540000,西藏,西部,2010,22.6666666666667,107.436147397153,0.491797328687573,11.0336817653891,27868900.0,5.16669916162995,1.8018018018018,23.3333333333333,6628,5.79086817653891
862,540000,西藏,西部,2011,22.6537216828479,123.975470155356,0.44584558969015,10.2636820514173,43960129.4498382,5.05314799672935,0.858369098712446,29.126213592233,7510,7.60839456015618
863,540000,西藏,西部,2012,22.8571428571429,127.476767107857,0.562219718558774,10.4358583515585,108702857.142857,4.39312869614193,1.19047619047619,31.7460317460318,8568,7.23926922482161
864,540000,西藏,西部,2013,23.9747634069401,122.471625211302,0.411116916918891,10.5667892458913,104713217.665615,4.90219753682685,1.61290322580645,41.0094637223975,9740,7.19109542447575
865,540000,西藏,西部,2014,26.1538461538462,126.158348409067,0.372835319820162,11.984715438925,69382984.6153846,5.76779823347877,1.53846153846154,55.3846153846154,10730,7.25257484120758
866,540000,西藏,西部,2015,28.7878787878788,132.450623202301,0.391614668539082,12.1082043634995,27692090.9090909,6.32790028763183,1.49700598802395,72.7272727272727,12254,7.45588001100285
867,540000,西藏,西部,2016,31.4705882352941,135.377664109122,0.302900540309072,10.6827541908588,22997705.8823529,7.70673486786019,1.58730158730159,102.941176470588,13639,13.1279990931876
868,540000,西藏,西部,2017,33.2378223495702,124.680504077094,0.504774248784142,13.5082107566263,24740687.6790831,8.02075611564122,1.5015015015015,131.805157593123,15457,9.26668014316801
869,540000,西藏,西部,2018,33.8983050847458,127.272022733144,0.412040513934276,11.7801976982564,20428757.0621469,7.65951950400413,1.0840108401084,158.19209039548,17286,5.47628229849595
870,540000,西藏,西部,2019,34.6260387811634,128.857933796678,0.332761970060565,12.0333676151297,19469889.1966759,7.17987984450465,2.00892857142857,177.285318559557,19501,7.12055765055422
871,540000,西藏,西部,2020,35.792349726776,116.199085510065,0.406618059450365,12.3880556510412,8484480.87431694,9.77558206758816,2.6378896882494,177.285318559557,21744,8.35579758652507
872,540000,西藏,西部,2021,36.6120218579235,97.4430343236227,0.411443456125032,12.7838540510407,16666666.6666667,10.2634362080569,2.92134831460674,177.285318559557,24950,9.57173373589671
873,540000,西藏,西部,2022,37.3626373626374,120.592503022975,0.320480682458021,12.2125893759304,18956043.956044,10.254860013022,2.8169014084507,177.285318559557,26675,8.36257896320064
874,540000,西藏,西部,2023,38.9041095890411,117.399590420864,0.310072551993222,11.9372592576771,42191780.8219178,9.76302921385882,1.96078431372549,177.285318559557,28983,8.33671529572591
875,540000,西藏,西部,2024,38.9041095890411,105.593330681037,0.310072551993222,11.9372592576771,48108108.1081081,9.76302921385882,1.96078431372549,177.285318559557,31358,8.33671529572591
876,520000,贵州,西部,1990,26.8632707774799,17.83759929391,1.25471460900176,20.9039476992708,1757135.25026624,4.26596057664019,1.18483412322275,5.3248136315229,607,8.90118179532311
877,520000,贵州,西部,1991,26.8632707774799,17.83759929391,1.25471460900176,20.9039476992708,1757135.25026624,4.26596057664019,1.18483412322275,5.3248136315229,775,8.90118179532311
878,520000,贵州,西部,1992,26.8632707774799,17.83759929391,1.25471460900176,20.9039476992708,1757135.25026624,4.26596057664019,1.18483412322275,5.3248136315229,944,8.90118179532311
879,520000,贵州,西部,1993,26.8632707774799,16.1335887000239,1.25471460900176,20.9039476992708,1757135.25026624,5.14723485755327,1.18483412322275,5.3248136315229,1112,8.90118179532311
880,520000,贵州,西部,1994,26.8632707774799,14.1525262154433,1.25471460900176,20.9039476992708,1757135.25026624,4.69018112488084,1.18483412322275,5.3248136315229,1280,8.90118179532311
881,520000,贵州,西部,1995,26.8632707774799,13.4124489154354,1.25471460900176,20.9039476992708,1757135.25026624,4.69977994341402,1.18483412322275,5.3248136315229,1448,8.90118179532311
882,520000,贵州,西部,1996,26.8632707774799,13.7693584070797,1.25471460900176,20.9039476992708,1757135.25026624,5.04701327433628,1.18483412322275,5.3248136315229,1617,8.90118179532311
883,520000,贵州,西部,1997,26.8632707774799,14.1213700670141,1.25471460900176,20.9039476992708,1757135.25026624,5.48523206751055,1.18483412322275,5.3248136315229,1785,8.90118179532311
884,520000,贵州,西部,1998,26.8632707774799,15.5044268406337,1.25471460900176,20.9039476992708,1757135.25026624,4.67148182665424,1.18483412322275,5.3248136315229,1953,8.90118179532311
885,520000,贵州,西部,1999,26.8632707774799,18.2101333333333,1.25471460900176,20.9039476992708,1757135.25026624,3.552,1.18483412322275,5.3248136315229,2122,8.90118179532311
886,520000,贵州,西部,2000,26.8632707774799,19.5718030876784,1.25471460900176,20.9039476992708,1757135.25026624,3.50519467909506,1.18483412322275,5.3248136315229,2290,8.90118179532311
887,520000,贵州,西部,2001,26.8632707774799,24.2830671490338,1.25471460900176,20.9039476992708,1701632.00842327,3.28244948380835,1.18483412322275,5.79099763095552,2557,8.90118179532311
888,520000,贵州,西部,2002,26.8632707774799,25.4680714170822,1.25471460900176,20.9039476992708,1802111.02423769,3.33762264757922,1.18483412322275,6.25488663017983,2824,8.90118179532311
889,520000,贵州,西部,2003,26.8632707774799,23.257522743177,1.25471460900176,20.9039476992708,2543488.37209302,3.36599020293912,1.18483412322275,7.23514211886305,3091,8.90118179532311
