row_id,year,region,urb,gov,inno,edu,openpc,fin,dig,inc,soc
28,2022,重庆,0.01341764127056199,0.001453281432900237,-0.004867510771460632,0.001342009704928235,0.008437620662157967,0.007483167089278831,-0.004689828966978178,0.08092289067274833,-0.01455627722951329
29,2022,陕西,0.01609150867165263,-0.0008674141812485645,-0.006978164520405884,-0.0008269939916263542,0.006590620125460453,0.005339027858138871,0.00183921954989208,0.07319410866765463,0.002456204845908927
30,2022,青海,0.01890805478052412,-0.003200711920198345,-0.003784918838520372,-0.009770221164399202,-0.01056176557271615,0.00643380215324913,-0.004679941082844409,0.07084448949521407,-0.003446498767480986
31,2022,黑龙江,0.01523376318225093,-0.004209374893347824,-0.00658768638847442,-0.01083067371078681,0.005493462413539771,0.005215793252485551,-0.00162269034848329,0.06490180691672556,-0.01657281869670188
32,2023,上海,0.0128256546297535,-0.0004535363527903692,0.02041022228989002,-0.003325264367508399,0.01037192518040794,0.03433846759109376,0.06743272533979613,0.1093161841695139,0.004250117489979405
33,2023,云南,0.001524634052073068,-0.004121102222687511,-0.002395286619754924,0.003957253707468679,0.005201846176338608,-0.001553490354859197,-0.003015732481317509,0.07441601135760881,-0.008547292613836327
34,2023,内蒙古,0.01332706814403404,-0.00638765290101652,-0.008835584931463747,-0.008366823157625767,0.004127226569399542,-0.01205910826779217,-0.00686609604986927,0.0810885976555694,-0.01032420963556109
35,2023,北京,0.02116099160743089,-0.0007958634570867091,0.02040113130340179,0.0009322666939216618,0.01066863707560037,0.03144893188526657,0.06521694963998008,0.1118024700180731,0.00363367863044183
36,2023,吉林,0.01529423307498846,-0.00403668142995301,-0.008233593396819915,-0.01220392036416891,0.002761757754110638,0.005975987295327162,-0.001722880027104904,0.06660724392218081,-0.01522380848278365
37,2023,四川,0.01436481225047563,-0.001538946727387203,-0.005420361187788485,-0.002374888385234182,0.006589457502822968,0.005584858134541663,-0.0006765166206207302,0.07526714348825254,-0.01460569015742948
38,2023,天津,0.01736176126548766,-0.001733652936803268,0.001989565059486746,-0.003366520189019929,0.009550621904162332,0.01138520023095151,-0.002571715459937104,0.08318890949331233,-0.0148028238769002
39,2023,宁夏,0.01823228950439016,-0.001530748250825834,-0.001787989358160451,-0.005546742802215224,-0.002092263884455416,0.008191291766795067,-0.005227112060126574,0.08219185626826542,-0.003356643593174061
40,2023,安徽,0.01921115386402795,0.0004000655068047154,0.01549834717175545,0.00417574866610964,0.007244494726541451,0.003989229597300269,0.0003664026228469399,0.07788601250592768,-0.01085895449182829
41,2023,山东,0.01696714699427376,0.01327807025014333,0.001613320770268457,0.007739502200884074,0.009035876251976115,-6.934733814301433e-05,0.0005021849560121507,0.08305393349393952,-0.01167523906795106
42,2023,山西,0.01842270605227241,-0.004446054197984483,-0.008124632709776815,-0.002656875305384248,0.003539208761570058,-0.001156207884424698,-0.005496338214369102,0.0779966110661051,-0.004758844671937604
43,2023,广东,0.02095061929031596,0.01136346869451229,0.01386842163945363,0.00422619971743796,0.007138760616365749,0.004012728854699348,0.006705419701376164,0.08829492295445782,0.005906332658477606
44,2023,广西,0.01560869716221019,-0.003431723388131939,-0.006484959875784743,0.008452636878203884,0.007183866781064602,0.00637684502468281,-0.00082250047386692,0.07670345913260421,-0.005677732927449184
45,2023,新疆,0.01551955465607355,-0.002341263335581193,-0.002453255806620712,2.322522761834115e-06,0.007833192008357278,0.005611963043959983,-0.00593521992348258,0.07104521722943852,0.004041322222686212
46,2023,江苏,0.02052645064248222,0.01636613478413589,0.01607703724482879,0.005166629840181284,0.008136286613876685,0.003445951122089193,0.006140269177658088,0.09011097083389344,0.005584005734821063
47,2023,江西,0.01771660517422564,-0.004103821124803835,0.003644286451190278,0.004524405196324341,0.006661854524995627,0.005523052327866989,-0.006161902192605865,0.0822400847882749,0.009227288482706259
48,2023,河北,0.01682749471640337,-0.001837259913178213,-0.01016687565664302,0.007832094849059664,0.003721472577556862,0.006774461412496558,-9.209481926096552e-05,0.08065631872271506,-0.01013168812230901
49,2023,河南,0.01847644539423182,0.001001077264528585,0.01519097960615058,0.006107937737588556,0.005388287229568503,-0.0007582787410069603,0.003070525146514344,0.0750389492779034,-0.008305973979279499
50,2023,浙江,0.02063476910710507,0.008964144170324343,0.01372671218080508,0.00546810465039331,0.007167510095972004,0.004209847656434779,0.006800266518330932,0.09011262457495456,0.005011308414927446
51,2023,海南,0.01820564328528777,-0.001567263038078735,0.007636948101582429,0.0006908576580077487,0.009016813046270458,-0.0004548683793625428,0.000397501302210708,0.079165287952318,0.0001751038586607366
52,2023,湖北,0.01839827165173549,0.001388211508534312,0.0168876533602518,-0.00270588051951284,0.007265369577966984,0.004136321046355054,-0.0002870479572356336,0.07693528887199687,-0.01742603503061639
53,2023,湖南,0.01682988051472779,-0.0006029190708950212,0.004806084647334624,0.0002104241352626148,0.007457960870987846,-0.001047261172781475,-0.006457576462542093,0.0803859640669383,-0.01036359445492107
54,2023,甘肃,0.01144976337817023,-0.000388023016661367,-0.005949666087425358,0.0001974633869568541,-0.008898405673289604,0.009938941591707471,-0.004366208407842099,0.05925892252115653,-0.002858967975003904
55,2023,福建,0.01800015482421691,0.00955724131680177,-0.0006686486451593847,0.004996484490711419,0.01309371082937878,0.004402457769997601,0.00465061902664223,0.09492889458513143,0.004863483610190654
56,2023,西藏,-0.035014352971877,-0.002892745820824136,-0.001557591588844109,-0.007304215122674856,-0.002678794333775403,0.01140224987828704,-0.001632430011456574,0.07417571743087553,-0.005251551962382856
57,2023,贵州,0.01633270604995865,-0.001032900321124677,-0.008641996922677383,0.006546919908156808,-0.009868108410393879,0.0009530537933832697,-0.005512905676759451,0.07030085245953263,0.00348785374253474
58,2023,辽宁,0.01474639890725074,-0.003003571389793257,-0.01136393526339222,-0.009465892499811553,0.006644703632140686,0.005078934709812729,-0.002246743947918478,0.07599572260457985,-0.01904132436138044
59,2023,重庆,0.01439667398602838,0.0008792769673897202,-0.004833020996578207,1.133704578571077e-05,0.008364988864937348,0.007268637197227804,-0.00451330998150314,0.08218002757559684,-0.01471636300428803
60,2023,陕西,0.01581351590462085,-0.001297264900084874,-0.006238995035169446,-0.001716801344831243,0.0060445031677998,0.005451855823392682,-0.0004977978623223254,0.07819182674534064,-0.006569149195787887
61,2023,青海,0.01909824209923071,-0.002567180984119961,-0.004658619155109876,-0.008786904244950645,-0.01339692183094885,0.006805489328900917,-0.005511267771430326,0.07009785841511668,0.003099896731635199
62,2023,黑龙江,0.01601937585262336,-0.004484880977217325,-0.006238754930502539,-0.01066984662657402,0.005754681211934972,0.005637633421055545,-0.00171791139233413,0.06521098702712347,-0.01640425118753398
63,2024,上海,0.01216282229394321,-0.000680377806961499,0.02010661498134093,-0.003505155549004066,0.01026569115055955,0.03382882813795535,0.06738366708586724,0.1086024324937248,0.0040028421659326
64,2024,云南,0.0009450743341868453,-0.0009146232309467803,-0.001656880535104736,0.003872625008805806,0.006741366657012846,-0.0006829195061238186,-0.002936434336974975,0.07471182957463135,-0.008280479300847493
65,2024,内蒙古,0.01335791113247098,-0.006894407276185946,-0.008717795810028536,-0.008169360483894687,0.004822834602978095,-0.01262167639108809,-0.006811876366470231,0.08057937047263225,-0.01033661324073133
66,2024,北京,0.02108916210917395,-0.00164128995176431,0.02037128955709553,0.000909221717619696,0.01060688648291513,0.03054796979590251,0.06441589998246161,0.1115255215985038,0.003565041408665834
67,2024,吉林,0.01521825870137124,-0.003921629244216713,-0.008157073057604308,-0.01224951344707373,0.003879864732839758,0.005824275119600425,-0.001740841239545137,0.06777222140173024,-0.01541214713792798
68,2024,四川,0.01436652952803461,-0.001466407595481397,-0.005377047246452608,-0.002332858498426743,0.006593578185927651,0.005356172025298232,-0.0007969789287995532,0.07503545431697231,-0.01481531844522859
69,2024,天津,0.01742533732951056,-0.001664080648699627,0.002013626158270566,-0.003348682669669178,0.00955150674927785,0.01132406185513451,-0.002650022200357643,0.08337763555678165,-0.01475608913331348
70,2024,宁夏,0.01823966022662502,-0.00194695349157179,-0.001812665323969211,-0.005717703209374822,-0.002141201081919236,0.008196342292390468,-0.005300793146766613,0.0822557210011067,-0.003325083613852464
71,2024,安徽,0.01860962828291046,0.0008265189706232855,0.01567897784134983,0.003961550359828843,0.007467714225076694,0.00388316478606018,-0.00045344270619992,0.07992678212048983,-0.0144386701884296
72,2024,山东,0.01702391134209466,0.01300834644193223,0.001738105762454674,0.007160391339719545,0.00944980744111001,-0.0002716921043168865,0.0005489742160710808,0.0843808772893995,-0.01148920721197936
73,2024,山西,0.01780215168202629,-0.004902041109487159,-0.008003635933517536,-0.002265566349357486,0.00374614672245639,-0.001557950623348122,-0.006798894065971793,0.08230198226899522,-0.007769729777332365
74,2024,广东,0.02117868425271128,0.01355391912215436,0.01388158805594984,0.002896405971337992,0.007586224421201937,0.004045841830135562,0.007067079161251829,0.08912977489933399,0.005950680939111239
75,2024,广西,0.01548047291910135,-0.003192382084897386,-0.006492571756135835,0.008392287220469707,0.007506769571007071,0.00626057636528742,-0.0008157174367850217,0.07801204280537553,-0.005631903976768196
76,2024,新疆,0.01529773541059709,-0.002187755097728878,-0.002427165409385447,-0.0001387661019627644,0.007907373696062168,0.005533293373575329,-0.005937189417051513,0.07188211897090462,0.003925038985698512
77,2024,江苏,0.02038725535388597,0.01405152556164312,0.01656154315051352,0.005077477309105041,0.007590884591855068,0.003332729220766841,0.006678663836081919,0.09079862767779152,0.005368389642579968
78,2024,江西,0.01752281723472195,-0.002846952029029062,0.003744865111076025,0.004542490017474774,0.007161677495553187,0.005542983553934903,-0.007599644265180986,0.0873299524278604,0.01012496675693424
79,2024,河北,0.01676409524717581,-0.001839168016265877,-0.01017803629654827,0.007905489937145611,0.004406816395287071,0.006615816413582051,-9.397394111370109e-05,0.08027983936332987,-0.01020838084804486
80,2024,河南,0.0182928783732656,0.001726247486014604,0.01527805405579385,0.006128632601960489,0.005544088670575084,-0.0008531001901579194,0.003172485091388349,0.07590239283182434,-0.008373601568359824
81,2024,浙江,0.02058148376282314,0.0103259405986509,0.01393050685062125,0.005281380466793315,0.007224006399578908,0.004151572947098711,0.006838410122097262,0.08901962900502666,0.005606603456113144
82,2024,海南,0.01866694277283316,-0.005937002142219918,0.007588983781218436,0.0004127052387092537,0.007908492165339231,-0.0009289683385126868,0.0005931212918887726,0.08090560317677833,0.0003980118261196811
83,2024,湖北,0.01839315643476365,0.001646208759725462,0.01713646971653844,-0.002740265820364711,0.007164206862355358,0.00403062396329913,-0.0003837602477859323,0.07753671709309758,-0.01743336969938151
84,2024,湖南,0.01658708740865694,0.001376141714383488,0.004970850045118018,0.0002325525431615773,0.007071184972806441,-0.0007360390161894866,-0.006673983245821505,0.08117730924442096,-0.01059538043358352
85,2024,甘肃,0.01048361624089779,-0.00131326335676674,-0.007346024688050536,0.0005819243093468623,-0.005310686867170135,0.00876505986873104,-0.005231769379630555,0.07346060361577031,-0.001853934979013238
86,2024,福建,0.01800015482421691,0.009405124304657226,-0.0006687752569981535,0.004996773700516899,0.01309371082937878,0.00436630443165431,0.00461180393538207,0.09492870330833675,0.004827221977667604
87,2024,西藏,-0.03532347017213414,-0.002781464893013125,-0.00152321562020182,-0.007356894262784492,-0.00160452709127932,0.01134556460188892,-0.001660722378501355,0.07521720024259083,-0.004969897078659371
88,2024,贵州,0.01542870174470248,-0.005817048576107332,-0.00903077315218865,0.006267282943609883,-0.005144102148846397,0.000952575126183343,-0.005431693343474181,0.072441548437316,0.00324819051280813
89,2024,辽宁,0.01487486878292132,-0.001289879662018321,-0.011348942617301,-0.009361750665496962,0.007005805249847211,0.005000800185595851,-0.002037646151191037,0.07688205998921571,-0.01886297430693609
90,2024,重庆,0.01439568332502089,0.0009107471916538597,-0.004900240507612764,-5.962757175107468e-05,0.008358197854685022,0.007258857917112178,-0.00451737322129795,0.08285385764242713,-0.0148088946608703
91,2024,陕西,0.0158251272013045,-0.000854291292045128,-0.006143805909365837,-0.001644095333872007,0.006150320305147309,0.005259866940918502,-0.000619798552412963,0.07797618400496331,-0.006582571893166245
92,2024,青海,0.01865825620715314,-0.002535602314944129,-0.004691424209089069,-0.008705844956193042,-0.01283451077600053,0.006959762042561742,-0.005646570546695448,0.07070431537993044,0.00311385447820315
93,2024,黑龙江,0.01602089751793506,-0.002948733736548504,-0.006049387435692425,-0.01044046791429488,0.006661984057331323,0.005463005849356971,-0.001736317213508513,0.06629594268376197,-0.01578825546267056
