row_id,province,province_2,region,year,gdp,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,industrial_structure,industrial_structure_2
112,440000,广东省,广东,2003,15979.77,1072.91,6.72,7222.44,45.2,7684.41,48.1,0.939882177031158,2.3852
113,450000,广西壮族自治区,广西,2003,2798.17,659.59,23.6,1183.44,42.3,955.14,34.1,1.23902255166782,2.187
114,460000,海南省,海南,2003,713.96,244.29,34.21,293.85,41.16,175.82,24.63,1.67131156864976,2.0695
115,500000,重庆市,重庆,2003,2615.57,332.86,12.7,1118.59,42.8,1164.12,44.5,0.960888911796035,2.301
116,510000,四川省,四川,2003,5346.2,1128.61,21.1,2197.13,41.1,2020.5,37.78,1.08741895570403,2.1996
117,520000,贵州省,贵州,2003,1428.97,290.9,21.0,567.37,39.1,570.7,39.9,0.994165060452076,2.181
118,530000,云南省,云南,2003,2633.39,494.6,18.78,1079.01,40.97,1059.78,40.24,1.01814527543452,2.2217
119,540000,西藏自治区,西藏,2003,185.97,39.56,21.27,98.92,53.2,47.49,25.53,2.08296483470204,2.3193
120,610000,陕西省,陕西,2003,2587.72,302.66,13.34,1063.89,39.4,1221.17,47.26,0.871205483266048,2.2606
121,620000,甘肃省,甘肃,2003,1399.94,238.0,17.0,589.7,42.12,572.24,40.88,1.03051167342374,2.2512
122,630000,青海省,青海,2003,385.0,46.01,12.0,206.77,53.7,132.22,34.3,1.56383300559673,2.417
123,640000,宁夏回族自治区,宁夏,2003,442.61,55.63,12.6,195.2,44.1,191.8,43.3,1.0177267987487,2.315
124,650000,新疆维吾尔自治区,新疆,2003,1889.17,393.13,20.8,795.75,42.1,700.29,37.1,1.13631495523283,2.213
125,110000,北京市,北京,2004,6252.5,85.4,1.4,4393.4,70.3,1773.7,28.4,2.47696904775328,2.691
126,120000,天津市,天津,2004,2621.1,105.28,4.0,1167.5,44.6,1348.3,51.4,0.865905213973151,2.406
127,130000,河北省,河北,2004,7588.6,1333.6,17.6,2787.1,36.7,3467.9,45.7,0.803685227371031,2.191
128,140000,山西省,山西,2004,3495.99,262.87,7.5,1301.49,37.2,1931.63,55.3,0.673778104502415,2.297
129,150000,内蒙古自治区,内蒙古,2004,2942.35,522.8,17.77,1378.35,46.8,1041.21,35.4,1.32379635232086,2.2897
130,210000,辽宁省,辽宁,2004,6469.81,774.39,11.97,2737.63,42.31,2957.79,45.72,0.925566047623395,2.3034
131,220000,吉林省,吉林,2004,2455.21,562.32,18.0,989.48,30.6,903.41,51.4,1.09527235695863,2.126
132,230000,黑龙江省,黑龙江,2004,4134.72,580.94,14.1,1283.5,31.0,2270.3,54.9,0.565343787164692,2.169
133,310000,上海市,上海,2004,8101.55,81.4,1.0,4148.0,51.2,3872.2,47.8,1.07122565983162,2.502
134,320000,江苏省,江苏,2004,14823.13,1300.4,8.77,5197.0,35.06,8325.8,56.17,0.624204280669725,2.2629
135,330000,浙江省,浙江,2004,11482.11,803.83,7.0,4517.87,39.3,6160.4,53.7,0.733372832932926,2.323
