row_id,admincode,region,zone,year,pcgdp,pcrs,fsr,tig,ruur,hbtp,ipr,hesp,gcr,wei,sdei,epes,ugpr,uwpr,pcura,ptvp
663,440000,广东,东部,2022,102217.0,33785.96823891918,71.55248884696984,55.239526968596344,,48.06,,3129.0,44.6,,6.810095619301756e-05,2.508433568516404,98.61,99.74,15.02,11.21
664,440000,广东,东部,2023,106985.0,35169.132693215804,74.75985087733976,55.79230091130746,,49.47,,3144.0,44.5,,5.881780631694395e-05,2.400006908824566,98.62,99.7,14.98,
665,440000,广东,东部,2024,111146.0,35234.115805946785,75.36738989997995,57.494256314523795,,,,,,,,,,,,
666,450000,广西,西部,1990,,,72.04615384615384,,3.9,,,,,,,,,,,
667,450000,广西,西部,1991,,,78.08965228320068,,2.2,,,,,,,,,,,
668,450000,广西,西部,1992,1490.0,,77.98165137614679,35.04484998453449,3.3,,,,,,,,,,,
669,450000,广西,西部,1993,1982.0,,89.24551121034516,34.56464379947229,2.9,,,,,,,,,,,
670,450000,广西,西部,1994,2675.0,,49.83590810854078,33.03847116748727,3.6,,,,,,,,,,,
671,450000,广西,西部,1995,3304.0,,56.5047300661498,34.05448717948718,3.6,,,,,,,,,,,
672,450000,广西,西部,1996,3706.0,,57.646009808292476,33.99493491960657,3.7,,,,,,,,,,,
673,450000,广西,西部,1997,3928.0,,58.04601065386641,34.23210256974633,4.2,,,,,,,,,,,
674,450000,广西,西部,1998,4346.0,,60.32970356926799,34.47915031653848,3.2,,,,,,,,,,,
675,450000,广西,西部,1999,4444.0,,59.36527691350343,36.679517094450645,3.3,,,,,,,,,,,
676,450000,广西,西部,2000,4652.0,1808.461376552305,56.888080776819216,38.067307692307686,3.2,,,260.3662386865923,,,,,,,,
677,450000,广西,西部,2001,5058.0,1954.6783625730993,50.80904308261055,40.96871846619576,3.5,,,316.624895572264,,,,,,,,
678,450000,广西,西部,2002,5559.0,2126.7109083367895,44.47434859238793,42.67543685858065,3.7,,,386.3542098714226,,,,,,,,
679,450000,广西,西部,2003,6120.0,1765.9048795552812,45.9107303877367,42.29147308984348,3.6,,,467.9843524809553,,,,,,,,
680,450000,广西,西部,2004,7182.0,1991.000204540806,46.8540012217471,40.65837644851896,4.1,,,574.7596645530784,,66.19345859429367,0.028561919457807634,,67.39,78.74,9.22,6.31
681,450000,广西,西部,2005,8069.0,3016.0944206008585,46.28769542748741,40.434515379065225,4.2,,,725.9656652360514,,72.38101600705487,0.027364314155153526,,72.68,82.28,10.24,6.93
682,450000,广西,西部,2006,9421.0,3433.5664335664333,46.95964469788354,40.49074199827968,4.2,,,820.9366391184574,32.9,56.7214450631536,0.022499886821494862,,72.95,79.85,10.77,7.41
683,450000,广西,西部,2007,11542.0,4053.481543624161,42.480272633223116,39.926572660188505,3.8,,,910.8640939597316,32.1,58.41455395630891,0.017786951121502154,1.4301073087611822,81.51,91.89,11.28,8.13
684,450000,广西,西部,2008,13471.0,4974.66777408638,39.967311947329065,39.76825603370821,3.8,23.03,,1352.0,32.7,53.49862130929145,0.014329088824859807,2.1563321537880364,84.04,92.87,11.83,8.43
685,450000,广西,西部,2009,14708.0,5746.911037891268,38.289699226794596,41.784644800292426,3.7,25.02,,1436.0,33.7,42.95111698463356,0.012519506811567715,3.078023455130656,92.19,94.43,13.98,9.94
686,450000,广西,西部,2010,18070.0,7184.381778741865,38.453568706757856,40.31149151115476,3.7,27.0,25.0,1530.0,35.0,36.554651325943595,0.010567793835648473,3.18740380256925,92.35,94.65,14.31,8.07
687,450000,广西,西部,2011,22234.0,8395.703544575725,37.23441035956751,39.34310041845067,3.5,28.32,29.0,1688.0,37.4,21.59622908960281,0.005058301536908126,2.117645209957254,91.08,93.91,14.34,8.9
688,450000,广西,西部,2012,24181.0,9622.07072858969,39.06097687615359,41.35054318978025,3.4,36.03,34.0,1834.0,37.5,21.725644927279802,0.004459641176262429,2.0102303675093713,93.26,95.3,14.74,9.18
