row_id,admincode,region,zone,year,urir,rrd
130,640000,宁夏,西部,2010,2.944976,54.848485
131,640000,宁夏,西部,2011,2.91536,61.609907
132,640000,宁夏,西部,2012,2.878837,66.770186
133,640000,宁夏,西部,2013,2.826161,74.203822
134,640000,宁夏,西部,2014,2.768728,82.026144
135,640000,宁夏,西部,2015,2.761926,90.816327
136,640000,宁夏,西部,2016,2.75609,93.728223
137,640000,宁夏,西部,2017,2.744645,99.636364
138,640000,宁夏,西部,2018,2.724206,103.717472
139,640000,宁夏,西部,2019,2.669778,110.727969
140,640000,宁夏,西部,2020,2.571819,113.833992
141,640000,宁夏,西部,2021,2.496642,118.699187
142,640000,宁夏,西部,2022,2.446379,122.040816
143,640000,宁夏,西部,2023,2.385494,126.890756
144,640000,宁夏,西部,2024,2.337576,
145,340000,安徽,中部,2007,2.983701,36.266667
146,340000,安徽,中部,2008,2.83418,37.205479
147,340000,安徽,中部,2009,2.844895,38.197183
148,340000,安徽,中部,2010,2.694945,39.911635
149,340000,安徽,中部,2011,2.693437,41.037307
150,340000,安徽,中部,2012,2.648735,46.82243
151,340000,安徽,中部,2013,2.575028,50.480461
152,340000,安徽,中部,2014,2.504942,51.743421
153,340000,安徽,中部,2015,2.489234,57.278588
154,340000,安徽,中部,2016,2.487713,62.491253
155,340000,安徽,中部,2017,2.480013,66.269411
156,340000,安徽,中部,2018,2.457345,69.573284
157,340000,安徽,中部,2019,2.435132,74.980901
158,340000,安徽,中部,2020,2.373165,83.569182
159,340000,安徽,中部,2021,2.341008,85.495568
160,340000,安徽,中部,2022,2.305645,86.808685
161,340000,安徽,中部,2023,2.243946,89.983022
162,340000,安徽,中部,2024,2.201049,
163,370000,山东,东部,2007,2.740268,35.685646
164,370000,山东,东部,2008,2.755775,37.608916
165,370000,山东,东部,2009,2.763406,39.006947
166,370000,山东,东部,2010,2.697043,40.140991
167,370000,山东,东部,2011,2.582251,41.25079
168,370000,山东,东部,2012,2.576899,44.19154
169,370000,山东,东部,2013,2.515393,47.001764
170,370000,山东,东部,2014,2.45935,49.413886
171,370000,山东,东部,2015,2.439675,52.508834
172,370000,山东,东部,2016,2.437437,55.323847
173,370000,山东,东部,2017,2.433457,58.362989
174,370000,山东,东部,2018,2.426766,59.757981
175,370000,山东,东部,2019,2.381378,61.183186
176,370000,山东,东部,2020,2.33168,64.00426
177,370000,山东,东部,2021,2.263441,65.857649
178,370000,山东,东部,2022,2.218453,67.674806
179,370000,山东,东部,2023,2.169036,70.220694
180,370000,山东,东部,2024,2.140476,
181,140000,山西,中部,2007,2.889811,54.818325
182,140000,山西,中部,2008,2.906473,57.692308
183,140000,山西,中部,2009,2.968356,59.265262
184,140000,山西,中部,2010,2.946988,60.581583
185,140000,山西,中部,2011,2.885944,63.926174
186,140000,山西,中部,2012,2.8641,67.110596
187,140000,山西,中部,2013,2.800101,70.288115
188,140000,山西,中部,2014,2.732319,73.014888
189,140000,山西,中部,2015,2.731965,76.175145
190,140000,山西,中部,2016,2.712954,79.094541
191,140000,山西,中部,2017,2.700408,82.105988
192,140000,山西,中部,2018,2.641277,84.85064
193,140000,山西,中部,2019,2.57805,88.552437
194,140000,山西,中部,2020,2.507062,91.513761
195,140000,山西,中部,2021,2.445323,94.265515
196,140000,山西,中部,2022,2.421859,96.175299
197,140000,山西,中部,2023,2.337897,100
198,140000,山西,中部,2024,2.296356,
199,440000,广东,东部,2007,3.003517,42.47191
200,440000,广东,东部,2008,2.928781,41.942605
201,440000,广东,东部,2009,2.953191,41.046386
202,440000,广东,东部,2010,2.850347,44.20844
203,440000,广东,东部,2011,2.701091,43.49277
204,440000,广东,东部,2012,2.69837,44.086022
205,440000,广东,东部,2013,2.668684,46.579533
206,440000,广东,东部,2014,2.625184,48.765603
207,440000,广东,东部,2015,2.601572,50.238697
208,440000,广东,东部,2016,2.596748,50.604782
209,440000,广东,东部,2017,2.596641,50.816441
210,440000,广东,东部,2018,2.58277,51.249641
211,440000,广东,东部,2019,2.55702,52.722482
212,440000,广东,东部,2020,2.495011,55.102666
213,440000,广东,东部,2021,2.459159,55.997514
214,440000,广东,东部,2022,2.411433,56.234336
215,440000,广东,东部,2023,2.358882,57.668908
216,440000,广东,东部,2024,2.305698,
217,450000,广西,西部,2007,3.33976,27.730263
218,450000,广西,西部,2008,3.337919,29.617193
219,450000,广西,西部,2009,3.337171,30.047425
220,450000,广西,西部,2010,3.186229,32.429501
221,450000,广西,西部,2011,3.057804,34.048059
222,450000,广西,西部,2012,2.999855,35.544666
223,450000,广西,西部,2013,2.911459,37.235271
224,450000,广西,西部,2014,2.841069,39.058824
225,450000,广西,西部,2015,2.790324,40.567546
226,450000,广西,西部,2016,2.734241,41.622718
227,450000,广西,西部,2017,2.693333,42.845361
228,450000,广西,西部,2018,2.608444,44.062107
229,450000,广西,西部,2019,2.540582,45.411865
230,450000,广西,西部,2020,2.420452,47.150935
231,450000,广西,西部,2021,2.354703,60.008838
232,450000,广西,西部,2022,2.277462,64.968722
233,450000,广西,西部,2023,2.213068,71.375978
234,450000,广西,西部,2024,2.157161,
235,650000,新疆,西部,2007,3.20868,105.803922
236,650000,新疆,西部,2008,3.228848,105.520995
