dataset_id,english_file,chinese_file,rows,columns,source_paths,first_year_detected,latest_year_detected,coverage_status,checked_at
2000_-2023_1__Sheet1__e65a4e45,data_processed/english/2000_-2023_1__Sheet1__e65a4e45_en.csv,data_processed/chinese/2000_-2023_1__Sheet1__e65a4e45_cn.csv,744,8,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平.xlsx,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2000_-2023_1__Sheet2__e65a4e45,data_processed/english/2000_-2023_1__Sheet2__e65a4e45_en.csv,data_processed/chinese/2000_-2023_1__Sheet2__e65a4e45_cn.csv,744,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/金融发展水平_20250521_174254/2000年-2023年金融发展水平.xlsx,2000.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2006-2023_1_1__Sheet1__463b5443,data_processed/english/2006-2023_1_1__Sheet1__463b5443_en.csv,data_processed/chinese/2006-2023_1_1__Sheet1__463b5443_cn.csv,558,5,source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/工业机器人安装密度_20250520_153101/工业机器人安装密度(2006-2023年)(1).xlsx; source_snapshots/Digital-Economy-on-Regional-Green-Total-Factor-Productivity/工业机器人安装密度_20250520_153101/工业机器人安装密度(2006-2023年)(1)(1).xlsx,2006.0,2023.0,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet10__5091a650,data_processed/english/2007-20024__Sheet10__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet10__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet11__5091a650,data_processed/english/2007-20024__Sheet11__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet11__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet12__5091a650,data_processed/english/2007-20024__Sheet12__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet12__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet13__5091a650,data_processed/english/2007-20024__Sheet13__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet13__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet14__5091a650,data_processed/english/2007-20024__Sheet14__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet14__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet15__5091a650,data_processed/english/2007-20024__Sheet15__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet15__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
2007-20024__Sheet16__5091a650,data_processed/english/2007-20024__Sheet16__5091a650_en.csv,data_processed/chinese/2007-20024__Sheet16__5091a650_cn.csv,31,2,source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/2007-20024各省份指标变化表.xlsx,,,observed_from_file; no forward fill,2026-09-18T14:47:20Z
